onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0303	0.9675	2	15	4	1	COCO_train2014_000000545405.jpg	coco	6.0303	6.9978	2	1.5278
16.0056	1.0008	2	15	4	2	homegarage.jpg	scenes	16.0056	17.0065	2	1.7115
25.9973	1.0008	2	15	4	3	n02109047_1551.JPEG	imagenet	25.9973	26.9981	1	1.4660
36.0060	1.0005	2	15	4	4	n02363005_12005.JPEG	imagenet	36.0060	37.0065	1	1.9134
45.9975	1.0008	2	15	4	5	COCO_train2014_000000460408.jpg	coco	45.9975	46.9982	1	1.5219
56.0058	1.0008	2	15	4	6	sculpturegarden3.jpg	scenes	56.0058	57.0066	2	1.3378
65.9975	1.0008	2	15	4	7	n01798484_1157.JPEG	rep_imagenet	65.9975	66.9983	2	1.5936
76.0075	0.9992	2	15	4	8	n02280649_2534.JPEG	imagenet	76.0075	77.0067	2	1.4335
85.9976	1.0008	2	15	4	9	COCO_train2014_000000502058.jpg	coco	85.9976	86.9984	1	1.6573
96.0077	0.9991	2	15	4	10	n03770679_5503.JPEG	imagenet	96.0077	97.0068	2	1.7132
105.9977	1.0008	2	15	4	11	n03666591_33712.JPEG	imagenet	105.9977	106.9985	2	1.6010
116.0077	0.9992	2	15	4	12	n04372370_37233.JPEG	imagenet	116.0077	117.0069	2	1.9210
125.9978	1.0008	2	15	4	13	n03627232_12520.JPEG	imagenet	125.9978	126.9986	2	1.7928
136.0074	0.9996	2	15	4	14	n03220513_10663.JPEG	imagenet	136.0074	137.0070	1	1.5126
145.9979	1.0009	2	15	4	15	COCO_train2014_000000554759.jpg	coco	145.9979	146.9987	1	1.8326
156.0080	0.9991	2	15	4	16	metroInside3.jpg	scenes	156.0080	157.0071	1	1.6325
165.9980	1.0008	2	15	4	17	COCO_train2014_000000148634.jpg	coco	165.9980	166.9988	1	1.4723
176.0074	0.9998	2	15	4	18	highway7.jpg	scenes	176.0074	177.0072	2	1.7602
185.9982	1.0008	2	15	4	19	COCO_train2014_000000361193.jpg	coco	185.9982	186.9989	1	1.4322
196.0065	1.0009	2	15	4	20	n02093859_1318.JPEG	imagenet	196.0065	197.0073	1	1.8719
205.9982	1.0009	2	15	4	21	n03661043_37272.JPEG	imagenet	205.9982	206.9990	1	1.4158
216.0076	0.9998	2	15	4	22	n02835271_12743.JPEG	rep_imagenet	216.0076	217.0074	1	1.7597
225.9983	1.0008	2	15	4	23	COCO_train2014_000000095258.jpg	coco	225.9983	226.9991	2	1.5596
236.0078	0.9998	2	15	4	24	COCO_train2014_000000250381.jpg	coco	236.0078	237.0075	2	1.6956
245.9984	1.0008	2	15	4	25	COCO_train2014_000000521998.jpg	coco	245.9984	246.9992	2	1.4714
256.0071	1.0005	2	15	4	26	n02105855_2784.JPEG	imagenet	256.0071	257.0076	1	1.4233
265.9986	1.0008	2	15	4	27	COCO_train2014_000000100396.jpg	coco	265.9986	266.9993	2	1.2551
276.0070	1.0008	2	15	4	28	cockpit3.jpg	scenes	276.0070	277.0077	1	1.6389
285.9987	1.0008	2	15	4	29	COCO_train2014_000000058465.jpg	coco	285.9987	286.9994	1	1.8870
296.0073	1.0006	2	15	4	30	bus_shelter3.jpg	scenes	296.0073	297.0078	1	1.7349
305.9988	1.0008	2	15	4	31	n04162706_38516.JPEG	imagenet	305.9988	306.9996	2	1.7906
316.0073	1.0006	2	15	4	32	COCO_train2014_000000262239.jpg	coco	316.0073	317.0080	1	1.8225
325.9988	1.0008	2	15	4	33	COCO_train2014_000000369775.jpg	coco	325.9988	326.9997	2	1.6784
336.0073	1.0008	2	15	4	34	hotelRoom3.jpg	scenes	336.0073	337.0081	1	1.6303
345.9990	1.0008	2	15	4	35	n06785654_12267.JPEG	imagenet	345.9990	346.9998	2	1.7262
356.0074	1.0008	2	15	4	36	COCO_train2014_000000091005.jpg	coco	356.0074	357.0082	1	1.4781
365.9991	1.0008	2	15	4	37	COCO_train2014_000000304627.jpg	coco	365.9991	366.9999	2	1.3339
