onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0283	0.9674	4	1	8	1	n02090622_8903.JPEG	imagenet	6.0283	6.9958	1	1.2893	n02090622_8903.JPEG
16.0036	1.0009	4	1	8	2	COCO_train2014_000000340602.jpg	coco	16.0036	17.0045	2	1.3100	COCO_train2014_000000340602.jpg
26.0120	0.9841	4	1	8	3	COCO_train2014_000000442793.jpg	coco	26.0120	26.9961	1	1.2804	COCO_train2014_000000442793.jpg
36.0037	1.0008	4	1	8	4	olympicswimmingpool7.jpg	scenes	36.0037	37.0045	1	1.5046	olympicswimmingpool7.jpg
46.0121	0.9841	4	1	8	5	COCO_train2014_000000077686.jpg	coco	46.0121	46.9962	3	1.4247	COCO_train2014_000000077686.jpg
56.0038	1.0009	4	1	8	6	casino4.jpg	scenes	56.0038	57.0046	2	1.3842	casino4.jpg
65.9952	1.0011	4	1	8	7	n12057211_4404.JPEG	imagenet	65.9952	66.9963	3	1.2004	n12057211_4404.JPEG
76.0039	1.0008	4	1	8	8	n03670208_3265.JPEG	imagenet	76.0039	77.0047	2	1.3204	n03670208_3265.JPEG
85.9953	1.0011	4	1	8	9	COCO_train2014_000000404823.jpg	coco	85.9953	86.9964	2	1.5202	COCO_train2014_000000404823.jpg
96.0040	1.0008	4	1	8	10	van_interior5.jpg	scenes	96.0040	97.0048	3	1.3681	van_interior5.jpg
105.9955	1.0011	4	1	8	11	pantry6.jpg	scenes	105.9955	106.9966	1	1.3679	pantry6.jpg
116.0041	1.0008	4	1	8	12	COCO_train2014_000000398540.jpg	coco	116.0041	117.0050	1	1.2639	COCO_train2014_000000398540.jpg
125.9956	1.0011	4	1	8	13	n04597913_690.JPEG	imagenet	125.9956	126.9967	2	1.8077	n04597913_690.JPEG
136.0043	1.0008	4	1	8	14	COCO_train2014_000000148639.jpg	coco	136.0043	137.0051	1	1.2396	COCO_train2014_000000148639.jpg
145.9963	1.0005	4	1	8	15	n02113186_8621.JPEG	imagenet	145.9963	146.9968	1	1.2635	n02113186_8621.JPEG
156.0044	1.0008	4	1	8	16	carFactory3.jpg	scenes	156.0044	157.0052	3	1.5434	carFactory3.jpg
165.9963	1.0007	4	1	8	17	golfcourse10.jpg	scenes	165.9963	166.9969	1	1.3032	golfcourse10.jpg
176.0046	1.0007	4	1	8	18	n02442845_19700.JPEG	rep_imagenet	176.0046	177.0053	1	1.5831	n02442845_19700.JPEG
185.9963	1.0007	4	1	8	19	COCO_train2014_000000354045.jpg	coco	185.9963	186.9971	1	1.2631	COCO_train2014_000000354045.jpg
196.0046	1.0008	4	1	8	20	n07930864_29639.JPEG	imagenet	196.0046	197.0055	2	1.2469	n07930864_29639.JPEG
205.9964	1.0008	4	1	8	21	COCO_train2014_000000384167.jpg	coco	205.9964	206.9972	1	1.0051	COCO_train2014_000000384167.jpg
216.0054	1.0002	4	1	8	22	n04317175_4361.JPEG	imagenet	216.0054	217.0056	1	1.3747	n04317175_4361.JPEG
225.9965	1.0009	4	1	8	23	n01629819_19393.JPEG	imagenet	225.9965	226.9973	1	1.3185	n01629819_19393.JPEG
236.0055	1.0002	4	1	8	24	n11879895_2208.JPEG	imagenet	236.0055	237.0057	1	1.3264	n11879895_2208.JPEG
245.9966	1.0009	4	1	8	25	n04238763_2717.JPEG	imagenet	245.9966	246.9974	2	1.6465	n04238763_2717.JPEG
256.0056	1.0002	4	1	8	26	COCO_train2014_000000191740.jpg	coco	256.0056	257.0058	1	1.3662	COCO_train2014_000000191740.jpg
265.9967	1.0008	4	1	8	27	COCO_train2014_000000126321.jpg	coco	265.9967	266.9976	1	1.3101	COCO_train2014_000000126321.jpg
276.0054	1.0005	4	1	8	28	COCO_train2014_000000100863.jpg	coco	276.0054	277.0059	3	1.3820	COCO_train2014_000000100863.jpg
285.9969	1.0008	4	1	8	29	COCO_train2014_000000282137.jpg	coco	285.9969	286.9977	1	1.2939	COCO_train2014_000000282137.jpg
296.0053	1.0008	4	1	8	30	courthouse2.jpg	scenes	296.0053	297.0061	1	1.3738	courthouse2.jpg
305.9970	1.0008	4	1	8	31	COCO_train2014_000000364683.jpg	coco	305.9970	306.9978	1	1.3256	COCO_train2014_000000364683.jpg
316.0061	1.0001	4	1	8	32	n01641577_2021.JPEG	imagenet	316.0061	317.0062	2	1.3815	n01641577_2021.JPEG
325.9971	1.0008	4	1	8	33	COCO_train2014_000000367552.jpg	coco	325.9971	326.9979	2	1.2854	COCO_train2014_000000367552.jpg
336.0055	1.0008	4	1	8	34	COCO_train2014_000000300072.jpg	rep_coco	336.0055	337.0063	2	1.3653	COCO_train2014_000000300072.jpg
345.9972	1.0008	4	1	8	35	n03126707_22076.JPEG	imagenet	345.9972	346.9980	3	1.3652	n03126707_22076.JPEG
356.0056	1.0008	4	1	8	36	n02096294_5480.JPEG	imagenet	356.0056	357.0064	1	1.2930	n02096294_5480.JPEG
365.9973	1.0009	4	1	8	37	n02165456_9825.JPEG	imagenet	365.9973	366.9982	2	1.2930	n02165456_9825.JPEG
