onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0289	0.9675	1	3	2	1	n02114367_3390.JPEG	imagenet	6.0289	6.9963	1	2.1370	n02114367_3390.JPEG
16.0042	1.0009	1	3	2	2	COCO_train2014_000000498443.jpg	coco	16.0042	17.0050	1	1.5579	COCO_train2014_000000498443.jpg
26.0137	0.9830	1	3	2	3	COCO_train2014_000000022627.jpg	coco	26.0137	26.9966	1	1.7206	COCO_train2014_000000022627.jpg
36.0043	1.0008	1	3	2	4	n03133878_4774.JPEG	imagenet	36.0043	37.0050	2	2.6483	n03133878_4774.JPEG
45.9963	1.0005	1	3	2	5	n02815834_5838.JPEG	imagenet	45.9963	46.9968	2	3.0801	n02815834_5838.JPEG
56.0048	1.0003	1	3	2	6	drymountains3.jpg	scenes	56.0048	57.0051	3	2.2244	drymountains3.jpg
65.9964	1.0004	1	3	2	7	COCO_train2014_000000105358.jpg	coco	65.9964	66.9969	2	3.0958	COCO_train2014_000000105358.jpg
76.0044	1.0008	1	3	2	8	COCO_train2014_000000381629.jpg	coco	76.0044	77.0052	2	3.5202	COCO_train2014_000000381629.jpg
85.9965	1.0005	1	3	2	9	basement5.jpg	scenes	85.9965	86.9970	2	2.2480	basement5.jpg
96.0051	1.0003	1	3	2	10	n02097047_3955.JPEG	imagenet	96.0051	97.0054	1	2.0479	n02097047_3955.JPEG
105.9972	0.9999	1	3	2	11	exerciseequipment4.jpg	scenes	105.9972	106.9971	1	2.8076	exerciseequipment4.jpg
116.0053	1.0002	1	3	2	12	campsite3.jpg	rep_scenes	116.0053	117.0055	1	2.8556	campsite3.jpg
125.9972	1.0000	1	3	2	13	n04131690_3365.JPEG	imagenet	125.9972	126.9972	2	3.8234	n04131690_3365.JPEG
136.0051	1.0005	1	3	2	14	COCO_train2014_000000055764.jpg	coco	136.0051	137.0056	2	1.4955	COCO_train2014_000000055764.jpg
145.9968	1.0005	1	3	2	15	n02445715_2860.JPEG	imagenet	145.9968	146.9973	1	1.4314	n02445715_2860.JPEG
156.0051	1.0006	1	3	2	16	n02835271_12743.JPEG	rep_imagenet	156.0051	157.0057	2	4.6711	n02835271_12743.JPEG
165.9970	1.0004	1	3	2	17	COCO_train2014_000000170962.jpg	coco	165.9970	166.9974	2	2.8151	COCO_train2014_000000170962.jpg
176.0050	1.0008	1	3	2	18	pond4.jpg	scenes	176.0050	177.0058	1	1.6070	pond4.jpg
185.9972	1.0004	1	3	2	19	COCO_train2014_000000238001.jpg	coco	185.9972	186.9976	3	1.8949	COCO_train2014_000000238001.jpg
196.0052	1.0008	1	3	2	20	COCO_train2014_000000276853.jpg	coco	196.0052	197.0060	1	1.8308	COCO_train2014_000000276853.jpg
205.9972	1.0005	1	3	2	21	n01855672_15697.JPEG	imagenet	205.9972	206.9977	1	1.9027	n01855672_15697.JPEG
216.0053	1.0008	1	3	2	22	n02117135_18165.JPEG	imagenet	216.0053	217.0061	2	4.7585	n02117135_18165.JPEG
225.9970	1.0008	1	3	2	23	COCO_train2014_000000057796.jpg	coco	225.9970	226.9978	1	1.9824	COCO_train2014_000000057796.jpg
236.0053	1.0009	1	3	2	24	COCO_train2014_000000401251.jpg	coco	236.0053	237.0062	2	2.6543	COCO_train2014_000000401251.jpg
245.9973	1.0007	1	3	2	25	n02807133_20308.JPEG	imagenet	245.9973	246.9979	2	5.0140	n02807133_20308.JPEG
256.0055	1.0008	1	3	2	26	ticket_counter6.jpg	scenes	256.0055	257.0063	3	2.5819	ticket_counter6.jpg
265.9972	1.0008	1	3	2	27	n02514041_10061.JPEG	imagenet	265.9972	266.9980	2	4.1657	n02514041_10061.JPEG
276.0056	1.0008	1	3	2	28	COCO_train2014_000000181468.jpg	coco	276.0056	277.0064	3	6.3097	COCO_train2014_000000181468.jpg
285.9974	1.0008	1	3	2	29	n04192698_5041.JPEG	imagenet	285.9974	286.9981	1	3.7816	n04192698_5041.JPEG
296.0076	0.9990	1	3	2	30	COCO_train2014_000000119761.jpg	coco	296.0076	297.0065	3	2.7656	COCO_train2014_000000119761.jpg
305.9974	1.0008	1	3	2	31	bridge3.jpg	scenes	305.9974	306.9982	2	3.3174	bridge3.jpg
316.0061	1.0005	1	3	2	32	n03000247_55479.JPEG	imagenet	316.0061	317.0066	3	6.2533	n03000247_55479.JPEG
325.9976	1.0007	1	3	2	33	n04507155_27960.JPEG	imagenet	325.9976	326.9984	2	2.0612	n04507155_27960.JPEG
336.0061	1.0007	1	3	2	34	COCO_train2014_000000091637.jpg	coco	336.0061	337.0068	2	4.9651	COCO_train2014_000000091637.jpg
345.9977	1.0008	1	3	2	35	n04238763_882.JPEG	imagenet	345.9977	346.9985	2	2.6851	n04238763_882.JPEG
356.0078	0.9991	1	3	2	36	COCO_train2014_000000225054.jpg	coco	356.0078	357.0069	1	3.8528	COCO_train2014_000000225054.jpg
365.9978	1.0008	1	3	2	37	lightingstore2.jpg	scenes	365.9978	366.9986	2	6.1166	lightingstore2.jpg
