onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0341	0.9674	4	6	6	1	barbershop2.jpg	scenes	6.0341	7.0015	2	1.2931	barbershop2.jpg
16.0095	1.0007	4	6	6	2	n03598930_5224.JPEG	imagenet	16.0095	17.0102	2	1.3529	n03598930_5224.JPEG
26.0010	1.0008	4	6	6	3	COCO_train2014_000000392851.jpg	coco	26.0010	27.0019	1	1.4274	COCO_train2014_000000392851.jpg
36.0095	1.0008	4	6	6	4	COCO_train2014_000000507789.jpg	rep_coco	36.0095	37.0103	3	1.4027	COCO_train2014_000000507789.jpg
46.0012	1.0008	4	6	6	5	n04456115_29862.JPEG	imagenet	46.0012	47.0020	2	1.3548	n04456115_29862.JPEG
56.0096	1.0008	4	6	6	6	COCO_train2014_000000195768.jpg	coco	56.0096	57.0104	1	1.2430	COCO_train2014_000000195768.jpg
66.0012	1.0009	4	6	6	7	n03769881_3263.JPEG	imagenet	66.0012	67.0021	2	1.2909	n03769881_3263.JPEG
76.0097	1.0008	4	6	6	8	hedgemaze2.jpg	scenes	76.0097	77.0105	1	1.3148	hedgemaze2.jpg
86.0013	1.0009	4	6	6	9	n01984695_57624.JPEG	imagenet	86.0013	87.0022	2	1.3948	n01984695_57624.JPEG
96.0098	1.0008	4	6	6	10	n07579787_12197.JPEG	imagenet	96.0098	97.0106	1	1.2346	n07579787_12197.JPEG
106.0015	1.0008	4	6	6	11	n03394916_8640.JPEG	imagenet	106.0015	107.0023	2	1.2184	n03394916_8640.JPEG
116.0099	1.0008	4	6	6	12	COCO_train2014_000000338693.jpg	coco	116.0099	117.0107	2	1.3863	COCO_train2014_000000338693.jpg
126.0016	1.0008	4	6	6	13	chemicalplant4.jpg	scenes	126.0016	127.0024	1	1.4342	chemicalplant4.jpg
136.0100	1.0008	4	6	6	14	COCO_train2014_000000517251.jpg	coco	136.0100	137.0108	2	1.3141	COCO_train2014_000000517251.jpg
146.0017	1.0008	4	6	6	15	n03220513_10663.JPEG	imagenet	146.0017	147.0025	1	1.2659	n03220513_10663.JPEG
156.0101	1.0008	4	6	6	16	recordingstudio3.jpg	scenes	156.0101	157.0109	2	1.3458	recordingstudio3.jpg
166.0018	1.0008	4	6	6	17	sushibar.jpg	scenes	166.0018	167.0027	1	1.2098	sushibar.jpg
176.0102	0.9844	4	6	6	18	n04311004_2467.JPEG	imagenet	176.0102	176.9946	1	1.0735	n04311004_2467.JPEG
186.0019	1.0008	4	6	6	19	COCO_train2014_000000485595.jpg	coco	186.0019	187.0028	2	1.3214	COCO_train2014_000000485595.jpg
196.0104	0.9842	4	6	6	20	n02325366_7131.JPEG	imagenet	196.0104	196.9945	1	1.2813	n02325366_7131.JPEG
206.0020	1.0008	4	6	6	21	COCO_train2014_000000393907.jpg	coco	206.0020	207.0029	1	1.3292	COCO_train2014_000000393907.jpg
216.0105	0.9841	4	6	6	22	COCO_train2014_000000471315.jpg	coco	216.0105	216.9946	2	1.2571	COCO_train2014_000000471315.jpg
226.0022	1.0008	4	6	6	23	COCO_train2014_000000383652.jpg	coco	226.0022	227.0030	2	1.3850	COCO_train2014_000000383652.jpg
236.0106	0.9841	4	6	6	24	n01665541_21853.JPEG	imagenet	236.0106	236.9947	1	1.5209	n01665541_21853.JPEG
246.0023	1.0008	4	6	6	25	COCO_train2014_000000130876.jpg	coco	246.0023	247.0031	1	1.3127	COCO_train2014_000000130876.jpg
256.0107	0.9848	4	6	6	26	COCO_train2014_000000028868.jpg	rep_coco	256.0107	256.9955	2	1.2807	COCO_train2014_000000028868.jpg
266.0024	1.0008	4	6	6	27	n03599486_3567.JPEG	imagenet	266.0024	267.0032	2	1.2885	n03599486_3567.JPEG
276.0108	0.9845	4	6	6	28	COCO_train2014_000000505486.jpg	coco	276.0108	276.9953	1	1.8324	COCO_train2014_000000505486.jpg
286.0025	1.0008	4	6	6	29	COCO_train2014_000000157700.jpg	coco	286.0025	287.0033	2	1.4164	COCO_train2014_000000157700.jpg
296.0109	0.9844	4	6	6	30	COCO_train2014_000000245590.jpg	coco	296.0109	296.9953	2	1.2802	COCO_train2014_000000245590.jpg
306.0026	1.0009	4	6	6	31	appleorchard1.jpg	scenes	306.0026	307.0034	1	1.2240	appleorchard1.jpg
316.0110	0.9845	4	6	6	32	COCO_train2014_000000423488.jpg	coco	316.0110	316.9955	2	1.2078	COCO_train2014_000000423488.jpg
326.0027	1.0008	4	6	6	33	n02447366_24047.JPEG	rep_imagenet	326.0027	327.0035	1	1.2318	n02447366_24047.JPEG
336.0111	0.9842	4	6	6	34	n02787622_21775.JPEG	imagenet	336.0111	336.9953	1	1.3596	n02787622_21775.JPEG
346.0028	1.0008	4	6	6	35	office1.jpg	scenes	346.0028	347.0036	2	1.2395	office1.jpg
356.0112	0.9842	4	6	6	36	n02095570_6359.JPEG	imagenet	356.0112	356.9954	1	1.2394	n02095570_6359.JPEG
366.0030	1.0008	4	6	6	37	COCO_train2014_000000021095.jpg	coco	366.0030	367.0038	2	1.3433	COCO_train2014_000000021095.jpg
