onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0368	0.9677	4	4	4	1	COCO_train2014_000000399337.jpg	coco	6.0368	7.0045	1	1.3036
16.0122	0.9841	4	4	4	2	COCO_train2014_000000190964.jpg	rep_coco	16.0122	16.9963	2	1.3591
26.0047	0.9999	4	4	4	3	n04026417_26908.JPEG	imagenet	26.0047	27.0046	2	1.3694
36.0122	0.9841	4	4	4	4	n04136333_2487.JPEG	rep_imagenet	36.0122	36.9964	1	1.6095
46.0039	1.0008	4	4	4	5	n09468604_78803.JPEG	imagenet	46.0039	47.0047	1	1.3137
55.9954	1.0011	4	4	4	6	n04310018_13967.JPEG	imagenet	55.9954	56.9965	1	1.3775
66.0040	1.0008	4	4	4	7	n01883070_9183.JPEG	imagenet	66.0040	67.0048	1	1.3134
75.9960	1.0005	4	4	4	8	COCO_train2014_000000096161.jpg	coco	75.9960	76.9965	1	1.3214
86.0042	1.0008	4	4	4	9	frontLawn3.jpg	scenes	86.0042	87.0050	2	1.2732
95.9959	1.0007	4	4	4	10	office3.jpg	scenes	95.9959	96.9967	2	1.2892
106.0043	1.0008	4	4	4	11	n02236044_17749.JPEG	imagenet	106.0043	107.0051	1	1.2730
115.9960	1.0008	4	4	4	12	n07831146_8193.JPEG	imagenet	115.9960	116.9968	1	1.2808
126.0044	1.0008	4	4	4	13	COCO_train2014_000000246792.jpg	coco	126.0044	127.0052	2	1.3767
135.9962	1.0007	4	4	4	14	n03775546_5801.JPEG	imagenet	135.9962	136.9969	1	1.4006
146.0045	1.0008	4	4	4	15	COCO_train2014_000000520422.jpg	coco	146.0045	147.0053	1	1.2884
155.9962	1.0009	4	4	4	16	COCO_train2014_000000523272.jpg	coco	155.9962	156.9970	1	1.2325
166.0046	1.0008	4	4	4	17	restaurantkitchen.jpg	scenes	166.0046	167.0054	2	1.2722
175.9963	1.0008	4	4	4	18	COCO_train2014_000000196368.jpg	coco	175.9963	176.9971	2	1.2561
186.0047	1.0008	4	4	4	19	COCO_train2014_000000234383.jpg	coco	186.0047	187.0055	1	1.5759
195.9964	1.0008	4	4	4	20	n04069434_2278.JPEG	imagenet	195.9964	196.9972	2	1.3598
206.0048	1.0008	4	4	4	21	n02447366_17624.JPEG	imagenet	206.0048	207.0056	1	1.3038
215.9965	1.0009	4	4	4	22	n03814639_9256.JPEG	imagenet	215.9965	216.9974	2	1.3357
226.0049	1.0008	4	4	4	23	runway2.jpg	scenes	226.0049	227.0057	2	1.4156
235.9966	1.0008	4	4	4	24	COCO_train2014_000000543541.jpg	coco	235.9966	236.9975	1	1.2794
246.0051	1.0008	4	4	4	25	COCO_train2014_000000244132.jpg	coco	246.0051	247.0059	2	1.4873
255.9970	1.0006	4	4	4	26	n03445924_19842.JPEG	imagenet	255.9970	256.9976	2	1.2151
266.0058	1.0002	4	4	4	27	COCO_train2014_000000261858.jpg	coco	266.0058	267.0060	2	1.3670
275.9969	1.0008	4	4	4	28	bleachers5.jpg	scenes	275.9969	276.9977	2	1.5270
286.0053	1.0008	4	4	4	29	mallindoor8.jpg	scenes	286.0053	287.0061	3	1.4627
295.9970	1.0008	4	4	4	30	COCO_train2014_000000331607.jpg	coco	295.9970	296.9978	1	1.3663
306.0054	1.0008	4	4	4	31	n02091244_4986.JPEG	imagenet	306.0054	307.0062	1	1.3105
315.9972	1.0007	4	4	4	32	COCO_train2014_000000023392.jpg	coco	315.9972	316.9979	2	1.3265
326.0058	1.0005	4	4	4	33	COCO_train2014_000000507789.jpg	coco	326.0058	327.0063	2	1.8143
335.9972	1.0009	4	4	4	34	n02690373_7046.JPEG	imagenet	335.9972	336.9980	2	1.2702
346.0056	1.0008	4	4	4	35	publicrestroom4.jpg	scenes	346.0056	347.0064	2	1.3422
355.9973	1.0008	4	4	4	36	COCO_train2014_000000109971.jpg	coco	355.9973	356.9981	2	1.6780
366.0063	1.0002	4	4	4	37	n02415577_5690.JPEG	imagenet	366.0063	367.0065	1	1.3019
