onset	duration	TR	Trial	StimOn	StimOff	cond	image	1back	Response	RT	Accuracy
12.0268	0.7673	6.013393	1	12.026786	12.794052	WkObject	candy.jpg	1	0	0.000000	correct rejection
13.0113	0.7836	6.505659	2	13.011318	13.794901	WkObject	usbkey.jpg	1	0	0.000000	correct rejection
14.0120	0.7837	7.005993	3	14.011985	14.795668	WkObject	usbkey.jpg	2	1	586.824894	hit              
15.0129	0.7837	7.506429	4	15.012858	15.796518	WkObject	crate.jpg	1	0	0.000000	correct rejection
15.9973	0.8000	7.998649	5	15.997298	16.797340	WkObject	radiator.jpg	1	0	0.000000	correct rejection
16.9981	0.8000	8.499073	6	16.998145	17.798176	WkObject	cooler.jpg	1	0	0.000000	correct rejection
17.9986	0.8004	8.999319	7	17.998639	18.799020	WkObject	clock.jpg	1	0	0.000000	correct rejection
18.9995	0.8003	9.499758	8	18.999515	19.799864	WkObject	table.jpg	1	0	0.000000	correct rejection
20.0004	0.8004	10.000177	9	20.000353	20.800720	WkObject	calculator01.jpg	1	0	0.000000	correct rejection
21.0012	0.8003	10.500597	10	21.001195	21.801545	WkObject	box.jpg	1	0	0.000000	correct rejection
22.0020	0.8003	11.001016	11	22.002031	22.802378	WkObject	box.jpg	2	1	700.711012	hit              
23.0028	0.8004	11.501401	12	23.002802	23.803231	WkObject	Water-Cooler.jpg	1	1	2.184153	false alarm      
24.0037	0.8004	12.001845	13	24.003690	24.804057	WkObject	distributor.jpg	1	0	0.000000	correct rejection
25.0045	0.8004	12.502258	14	25.004516	25.804900	WkObject	camera.jpg	1	0	0.000000	correct rejection
26.0067	0.7991	13.003338	15	26.006677	26.805734	WkObject	umbrella2.jpg	1	0	0.000000	correct rejection
27.0075	0.7990	13.503760	16	27.007519	27.806565	WkObject	plant01.jpg	1	0	0.000000	correct rejection
28.0073	6.0000	14.003626	fix	28.007252	0.000000	fix	fix	fix	fix	fix	n/a
34.0285	0.7673	17.014235	17	34.028469	34.795789	Scrambled	scambled_may 20th 2011 002.JPG	1	0	0.000000	correct rejection
34.9964	0.8002	17.498224	18	34.996448	35.796623	Scrambled	scambled_home-office-design-ideas.jpg	1	0	0.000000	correct rejection
35.9970	0.8005	17.998523	19	35.997046	36.797506	Scrambled	scambled_hairSalon.jpg	1	0	0.000000	correct rejection
36.9979	0.8004	18.498968	20	36.997936	37.798289	Scrambled	scambled_sun_djdeitrckcbvpdam.jpg	1	0	0.000000	correct rejection
37.9988	0.8004	18.999378	21	37.998756	38.799131	Scrambled	scambled_sun_djdeitrckcbvpdam.jpg	2	1	527.820110	hit              
38.9996	0.8004	19.499787	22	38.999575	39.799997	Scrambled	scambled_Echo_Bedroom.jpg	1	0	0.000000	correct rejection
40.0004	0.8004	20.000201	23	40.000403	40.800846	Scrambled	scambled_cafe.jpg	1	0	0.000000	correct rejection
41.0012	0.8004	20.500618	24	41.001235	41.801666	Scrambled	scambled_Furnished-Office.jpg	1	0	0.000000	correct rejection
42.0022	0.8003	21.001078	25	42.002157	42.802488	Scrambled	scambled_varadero-beach-13915-2560x1600.jpg	1	0	0.000000	correct rejection
43.0030	0.8003	21.501493	26	43.002987	43.803335	Scrambled	scambled_kitchen002.jpg	1	0	0.000000	correct rejection
44.0038	0.8004	22.001897	27	44.003795	44.804168	Scrambled	scambled_kitchen002.jpg	2	1	458.628178	hit              
45.0047	0.8004	22.502329	28	45.004659	45.805021	Scrambled	scambled_livingRoomrot.jpg	1	0	0.000000	correct rejection
46.0070	0.7988	23.003520	29	46.007039	46.805860	Scrambled	scambled_sun_aowymmyymtohyobt.jpg	1	0	0.000000	correct rejection
47.0071	0.7996	23.503570	30	47.007141	47.806694	Scrambled	scambled_sun_ajofholrxfzifcca.jpg	1	0	0.000000	correct rejection
48.0075	0.8001	24.003745	31	48.007490	48.807543	Scrambled	scambled_Kitchen NW.JPG	1	0	0.000000	correct rejection
49.0081	0.8004	24.504031	32	49.008062	49.808422	Scrambled	scambled_library.jpg	1	0	0.000000	correct rejection
50.0090	6.0000	25.004491	fix	50.008982	0.000000	fix	fix	fix	fix	fix	n/a
56.0303	0.7673	28.015170	33	56.030339	56.797593	Scene	085.jpg	1	0	0.000000	correct rejection
56.9980	0.8004	28.499022	34	56.998043	57.798397	Scene	009.jpg	1	0	0.000000	correct rejection
57.9989	0.8004	28.999440	35	57.998880	58.799245	Scene	082.jpg	1	0	0.000000	correct rejection
58.9998	0.8003	29.499880	36	58.999760	59.800093	Scene	020.jpg	1	0	0.000000	correct rejection
60.0005	0.8004	30.000267	37	60.000534	60.800946	Scene	106.jpg	1	0	0.000000	correct rejection
61.0014	0.8004	30.500698	38	61.001397	61.801769	Scene	090.JPG	1	0	0.000000	correct rejection
