onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0372	0.9676	3	4	5	1	dormroom7.jpg	scenes	6.0372	7.0048	2	5.1201	dormroom7.jpg
16.0124	0.9841	3	4	5	2	COCO_train2014_000000323936.jpg	coco	16.0124	16.9965	1	4.6311	COCO_train2014_000000323936.jpg
26.0040	1.0008	3	4	5	3	n03445924_6637.JPEG	imagenet	26.0040	27.0048	3	4.7134	n03445924_6637.JPEG
36.0124	0.9841	3	4	5	4	COCO_train2014_000000447182.jpg	coco	36.0124	36.9966	1	2.8331	COCO_train2014_000000447182.jpg
46.0042	1.0007	3	4	5	5	n03388549_11795.JPEG	imagenet	46.0042	47.0050	1	5.5616	n03388549_11795.JPEG
55.9961	1.0006	3	4	5	6	postoffice2.jpg	scenes	55.9961	56.9967	2	1.9296	postoffice2.jpg
66.0044	1.0006	3	4	5	7	RVinside2.jpg	scenes	66.0044	67.0050	2	2.7854	RVinside2.jpg
75.9961	1.0007	3	4	5	8	n04347754_13053.JPEG	imagenet	75.9961	76.9968	1	2.2332	n04347754_13053.JPEG
86.0043	1.0009	3	4	5	9	COCO_train2014_000000505057.jpg	coco	86.0043	87.0052	2	4.1211	COCO_train2014_000000505057.jpg
95.9962	1.0007	3	4	5	10	n04505470_3947.JPEG	imagenet	95.9962	96.9969	3	4.5849	n04505470_3947.JPEG
106.0047	1.0006	3	4	5	11	n02883205_22710.JPEG	imagenet	106.0047	107.0053	2	3.1369	n02883205_22710.JPEG
115.9962	1.0008	3	4	5	12	jewelrystore.jpg	scenes	115.9962	116.9970	3	3.9608	jewelrystore.jpg
126.0046	1.0007	3	4	5	13	n04366367_8673.JPEG	imagenet	126.0046	127.0054	1	3.5206	n04366367_8673.JPEG
136.0130	0.9841	3	4	5	14	n03065424_30673.JPEG	imagenet	136.0130	136.9971	2	2.9205	n03065424_30673.JPEG
146.0046	1.0009	3	4	5	15	van_interior2.jpg	scenes	146.0046	147.0055	3	2.4804	van_interior2.jpg
155.9964	1.0008	3	4	5	16	n03623198_3026.JPEG	rep_imagenet	155.9964	156.9972	2	2.1442	n03623198_3026.JPEG
166.0047	1.0009	3	4	5	17	COCO_train2014_000000534267.jpg	coco	166.0047	167.0056	1	2.9121	COCO_train2014_000000534267.jpg
175.9965	1.0008	3	4	5	18	COCO_train2014_000000474024.jpg	coco	175.9965	176.9973	3	2.3759	COCO_train2014_000000474024.jpg
186.0049	1.0008	3	4	5	19	n01641577_1229.JPEG	imagenet	186.0049	187.0057	1	3.9278	n01641577_1229.JPEG
195.9966	1.0009	3	4	5	20	winebarrel4.jpg	scenes	195.9966	196.9974	2	2.5518	winebarrel4.jpg
206.0050	1.0008	3	4	5	21	COCO_train2014_000000246453.jpg	coco	206.0050	207.0058	3	4.2396	COCO_train2014_000000246453.jpg
215.9967	1.0009	3	4	5	22	COCO_train2014_000000076476.jpg	coco	215.9967	216.9975	2	6.1594	COCO_train2014_000000076476.jpg
226.0051	1.0008	3	4	5	23	n03207743_2620.JPEG	imagenet	226.0051	227.0059	1	2.4633	n03207743_2620.JPEG
235.9968	1.0009	3	4	5	24	COCO_train2014_000000549729.jpg	coco	235.9968	236.9976	2	3.7273	COCO_train2014_000000549729.jpg
246.0052	1.0009	3	4	5	25	n04026417_26908.JPEG	rep_imagenet	246.0052	247.0060	3	3.0551	n04026417_26908.JPEG
255.9969	1.0009	3	4	5	26	n12768682_25967.JPEG	imagenet	255.9969	256.9978	2	2.6310	n12768682_25967.JPEG
266.0053	1.0008	3	4	5	27	sidewalk1.jpg	rep_scenes	266.0053	267.0061	1	3.5749	sidewalk1.jpg
275.9971	1.0008	3	4	5	28	COCO_train2014_000000372247.jpg	coco	275.9971	276.9979	1	2.0467	COCO_train2014_000000372247.jpg
286.0054	1.0009	3	4	5	29	COCO_train2014_000000486921.jpg	coco	286.0054	287.0063	2	4.0466	COCO_train2014_000000486921.jpg
295.9971	1.0008	3	4	5	30	n04243546_5419.JPEG	imagenet	295.9971	296.9980	3	2.2865	n04243546_5419.JPEG
306.0056	1.0007	3	4	5	31	n03250847_127.JPEG	imagenet	306.0056	307.0063	1	3.4784	n03250847_127.JPEG
315.9972	1.0009	3	4	5	32	COCO_train2014_000000278555.jpg	coco	315.9972	316.9981	2	4.2463	COCO_train2014_000000278555.jpg
326.0070	0.9995	3	4	5	33	COCO_train2014_000000506039.jpg	coco	326.0070	327.0065	2	3.7261	COCO_train2014_000000506039.jpg
335.9973	1.0009	3	4	5	34	COCO_train2014_000000066014.jpg	coco	335.9973	336.9982	1	3.2780	COCO_train2014_000000066014.jpg
346.0072	0.9993	3	4	5	35	n04033995_15656.JPEG	imagenet	346.0072	347.0066	2	4.8459	n04033995_15656.JPEG
355.9975	1.0008	3	4	5	36	COCO_train2014_000000291560.jpg	coco	355.9975	356.9983	3	6.6378	COCO_train2014_000000291560.jpg
366.0072	0.9995	3	4	5	37	casino5.jpg	scenes	366.0072	367.0067	3	3.5496	casino5.jpg
