onset	duration	TR	Trial	StimOn	StimOff	cond	image	1back	Response	RT	Accuracy
12.0335	0.7670	6.016736	1	12.033472	12.800481	Scrambled	scambled_sun_aghsutguqpsbxebg.jpg	1	0	0.000000	correct rejection
13.0177	0.7837	6.508829	2	13.017657	13.801311	Scrambled	scambled_kitchen002.jpg	1	0	0.000000	correct rejection
14.0017	0.8004	7.000836	3	14.001672	14.802068	Scrambled	scambled_sun_aicccdealzkfllqt.jpg	1	0	0.000000	correct rejection
15.0026	0.8004	7.501277	4	15.002554	15.802927	Scrambled	scambled_sun_aicccdealzkfllqt.jpg	2	1	636.255026	hit              
16.0034	0.8004	8.001688	5	16.003375	16.803781	Scrambled	scambled_house (19).jpg	1	0	0.000000	correct rejection
17.0046	0.8000	8.502289	6	17.004577	17.804572	Scrambled	scambled_house (32).jpg	1	0	0.000000	correct rejection
18.0069	0.7986	9.003430	7	18.006860	18.805422	Scrambled	scambled_Model_bedroom1rot.jpg	1	0	0.000000	correct rejection
19.0059	0.8004	9.502962	8	19.005924	19.806299	Scrambled	scambled_fountain.jpg	1	0	0.000000	correct rejection
20.0082	0.7989	10.004107	9	20.008214	20.807096	Scrambled	scambled_may 20th 2011rot.jpg	1	0	0.000000	correct rejection
21.0084	0.7996	10.504194	10	21.008389	21.807944	Scrambled	scambled_sun_acfzwujvudexaklv.jpg	1	0	0.000000	correct rejection
22.0085	0.8003	11.004246	11	22.008492	22.808826	Scrambled	scambled_varadero-beach-13915-2560x1600.jpg	1	0	0.000000	correct rejection
23.0093	0.8004	11.504644	12	23.009287	23.809650	Scrambled	scambled_sun_abkmizyubcfcudbrrot.jpg	1	0	0.000000	correct rejection
24.0101	0.7836	12.005066	13	24.010132	24.793765	Scrambled	scambled_elevator.jpg	1	0	0.000000	correct rejection
25.0110	0.7836	12.505509	14	25.011017	25.794594	Scrambled	scambled_sun_afjnbldlkryenvxnrot.jpg	1	0	0.000000	correct rejection
26.0118	0.7837	13.005880	15	26.011759	26.795462	Scrambled	scambled_Model_bedroom1.jpg	1	0	0.000000	correct rejection
26.9961	0.8002	13.498053	16	26.996105	27.796293	Scrambled	scambled_Model_bedroom1.jpg	2	1	522.521973	hit              
27.9969	6.0000	13.998462	fix	27.996923	0.000000	fix	fix	fix	fix	fix	n/a
34.0185	0.7837	17.009253	17	34.018505	34.802167	Scene	108.jpg	1	0	0.000000	correct rejection
35.0027	0.8003	17.501329	18	35.002658	35.802999	Scene	066.jpg	1	0	0.000000	correct rejection
36.0035	0.8004	18.001742	19	36.003484	36.803852	Scene	012.jpg	1	0	0.000000	correct rejection
37.0043	0.8004	18.502141	20	37.004281	37.804693	Scene	085.jpg	1	0	0.000000	correct rejection
38.0051	0.8004	19.002570	21	38.005140	38.805517	Scene	045.jpg	1	0	0.000000	correct rejection
39.0060	0.8004	19.502993	22	39.005985	39.806362	Scene	131.jpg	1	0	0.000000	correct rejection
40.0079	0.7993	20.003965	23	40.007929	40.807205	Scene	010.jpg	1	0	0.000000	correct rejection
41.0087	0.7993	20.504359	24	41.008717	41.808029	Scene	010.jpg	2	1	541.737080	hit              
42.0085	0.8003	21.004273	25	42.008545	42.808872	Scene	083.jpg	1	0	0.000000	correct rejection
43.0094	0.8003	21.504689	26	43.009378	43.809698	Scene	058.jpg	1	0	0.000000	correct rejection
44.0102	0.7837	22.005105	27	44.010210	44.793871	Scene	046.jpg	1	0	0.000000	correct rejection
45.0111	0.7837	22.505547	28	45.011094	45.794747	Scene	046.jpg	2	1	683.326960	hit              
46.0119	0.7837	23.005954	29	46.011908	46.795560	Scene	086.JPG	1	0	0.000000	correct rejection
46.9962	0.8001	23.498110	30	46.996220	47.796364	Scene	072.jpg	1	0	0.000000	correct rejection
47.9969	0.8004	23.998451	31	47.996902	48.797265	Scene	130.jpg	1	0	0.000000	correct rejection
48.9977	0.8004	24.498856	32	48.997711	49.798092	Scene	014.jpg	1	0	0.000000	correct rejection
49.9986	6.0000	24.999321	fix	49.998642	0.000000	fix	fix	fix	fix	fix	n/a
56.0203	0.7837	28.010138	33	56.020275	56.803952	WkObject	vase.jpg	1	0	0.000000	correct rejection
57.0044	0.8004	28.502190	34	57.004379	57.804768	WkObject	coffee.jpg	1	0	0.000000	correct rejection
58.0053	0.8004	29.002634	35	58.005267	58.805628	WkObject	radiator.jpg	1	0	0.000000	correct rejection
59.0074	0.7990	29.503721	36	59.007442	59.806463	WkObject	sattelitedish.jpg	1	0	0.000000	correct rejection
60.0082	0.7991	30.004112	37	60.008224	60.807314	WkObject	sattelitedish.jpg	2	1	637.974977	hit              
61.0082	0.8000	30.504105	38	61.008210	61.808167	WkObject	razor.jpg	1	0	0.000000	correct rejection
62.0087	0.8003	31.004331	39	62.008661	62.808997	WkObject	razor.jpg	2	1	605.535984	hit              
63.0114	0.7985	31.505678	40	63.011355	63.809817	WkObject	bench.jpg	1	0	0.000000	correct rejection
64.0103	0.7837	32.005138	41	64.010276	64.793978	WkObject	robot.jpg	1	0	0.000000	correct rejection
65.0112	0.7836	32.505577	42	65.011153	65.794787	WkObject	wax_candle.jpg	1	0	0.000000	correct rejection
66.0120	0.7836	33.006008	43	66.012015	66.795634	WkObject	crate.jpg	1	0	0.000000	correct rejection
66.9961	0.8004	33.498051	44	66.996101	67.796523	WkObject	scissors.jpg	1	0	0.000000	correct rejection
67.9969	0.8004	33.998465	45	67.996930	68.797361	WkObject	candy.jpg	1	0	0.000000	correct rejection
68.9978	0.8003	34.498910	46	68.997819	69.798134	WkObject	pizza_box.jpg	1	0	0.000000	correct rejection
69.9986	0.8004	34.999312	47	69.998624	70.798981	WkObject	distributor.jpg	1	0	0.000000	correct rejection
70.9995	0.8003	35.499729	48	70.999457	71.799807	WkObject	glasses.jpg	1	0	0.000000	correct rejection
72.0003	6.0000	36.000172	fix	72.000345	0.000000	fix	fix	fix	fix	fix	n/a
78.0220	0.7837	39.011006	49	78.022012	78.805684	Scene	107.jpg	1	0	0.000000	correct rejection
79.0079	0.7986	39.503970	50	79.007939	79.806530	Scene	017.jpg	1	0	0.000000	correct rejection
80.0075	0.7999	40.003750	51	80.007499	80.807357	Scene	114.jpg	1	0	0.000000	correct rejection
81.0084	0.7998	40.504187	52	81.008373	81.808207	Scene	098.jpg	1	0	0.000000	correct rejection
82.0087	0.8004	41.004348	53	82.008695	82.809074	Scene	098.jpg	2	1	573.216915	hit              
83.0096	0.8003	41.504780	54	83.009560	83.809883	Scene	134.jpg	1	0	0.000000	correct rejection
84.0104	0.7836	42.005193	55	84.010385	84.794032	Scene	102.jpg	1	0	0.000000	correct rejection
85.0112	0.7836	42.505625	56	85.011249	85.794872	Scene	102.jpg	2	1	666.648149	hit              
86.0121	0.7837	43.006038	57	86.012076	86.795749	Scene	073.jpg	1	0	0.000000	correct rejection
86.9962	0.8004	43.498087	58	86.996174	87.796554	Scene	038.jpg	1	0	0.000000	correct rejection
87.9970	0.8003	43.998522	59	87.997044	88.797392	Scene	030.jpg	1	0	0.000000	correct rejection
88.9979	0.8004	44.498935	60	88.997870	89.798231	Scene	021.jpg	1	0	0.000000	correct rejection
89.9987	0.8004	44.999340	61	89.998679	90.799070	Scene	011.jpg	1	0	0.000000	correct rejection
90.9995	0.8004	45.499757	62	90.999514	91.799909	Scene	133.jpg	1	0	0.000000	correct rejection
92.0004	0.8004	46.000190	63	92.000380	92.800742	Scene	075.jpg	1	0	0.000000	correct rejection
93.0012	0.8004	46.500596	64	93.001191	93.801586	Scene	135.jpg	1	0	0.000000	correct rejection
94.0021	6.0000	47.001061	fix	94.002121	0.000000	fix	fix	fix	fix	fix	n/a
100.0238	0.7837	50.011900	65	100.023799	100.807455	WkObject	safe.jpg	1	0	0.000000	correct rejection
101.0080	0.8003	50.503992	66	101.007984	101.808297	WkObject	plant01.jpg	1	0	0.000000	correct rejection
102.0088	0.8003	51.004412	67	102.008824	102.809130	WkObject	Helicopter.jpg	1	0	0.000000	correct rejection
103.0096	0.7837	51.504812	68	103.009624	103.793326	WkObject	cart.jpg	1	0	0.000000	correct rejection
104.0105	0.7837	52.005232	69	104.010464	104.794127	WkObject	jar.jpg	1	0	0.000000	correct rejection
105.0113	0.7837	52.505655	70	105.011309	105.795022	WkObject	clock.jpg	1	0	0.000000	correct rejection
106.0122	0.7836	53.006085	71	106.012169	106.795800	WkObject	clock.jpg	2	1	569.438934	hit              
106.9963	0.8004	53.498162	72	106.996324	107.796686	WkObject	tree.jpg	1	0	0.000000	correct rejection
107.9971	0.8004	53.998556	73	107.997113	108.797487	WkObject	lock.jpg	1	0	0.000000	correct rejection
108.9979	0.8004	54.498965	74	108.997930	109.798324	WkObject	bike.jpg	1	0	0.000000	correct rejection
109.9988	0.8004	54.999397	75	109.998794	110.799161	WkObject	umbrella2.jpg	1	0	0.000000	correct rejection
110.9996	0.8004	55.499795	76	110.999590	111.799997	WkObject	fan.jpg	1	0	0.000000	correct rejection
112.0004	0.8004	56.000221	77	112.000441	112.800833	WkObject	folding_chair.jpg	1	0	0.000000	correct rejection
113.0013	0.8004	56.500652	78	113.001303	113.801672	WkObject	lamp.jpg	1	0	0.000000	correct rejection
114.0021	0.8004	57.001067	79	114.002134	114.802520	WkObject	flashlight.jpg	1	0	0.000000	correct rejection
115.0030	0.8003	57.501512	80	115.003024	115.803354	WkObject	flashlight.jpg	2	1	338.437080	hit              
116.0038	6.0000	58.001919	fix	116.003838	0.000000	fix	fix	fix	fix	fix	n/a
122.0256	0.7836	61.012823	81	122.025645	122.809269	Scrambled	scambled_may 20th 2011 002.JPG	1	0	0.000000	correct rejection
123.0098	0.7836	61.504876	82	123.009753	123.793377	Scrambled	scambled_may 20th 2011 002.JPG	2	1	531.623125	hit              
124.0106	0.7837	62.005294	83	124.010588	124.794266	Scrambled	scambled_house (34).jpg	1	0	0.000000	correct rejection
125.0114	0.7836	62.505707	84	125.011414	125.795055	Scrambled	scambled_sun_agpxkgsdlobslcplrot.jpg	1	0	0.000000	correct rejection
126.0122	0.7836	63.006124	85	126.012248	126.795896	Scrambled	scambled_farm.jpg	1	0	0.000000	correct rejection
126.9963	0.8004	63.498172	86	126.996344	127.796741	Scrambled	scambled_house (33).jpg	1	0	0.000000	correct rejection
127.9972	0.8004	63.998592	87	127.997184	128.797577	Scrambled	scambled_sun_acggnoeidnfjlcis.jpg	1	0	0.000000	correct rejection
128.9980	0.8004	64.499012	88	128.998024	129.798414	Scrambled	scambled_sun_agpxkgsdlobslcpl.jpg	1	0	0.000000	correct rejection
