onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0393	0.9678	2	13	9	1	basement.jpg	scenes	6.0393	7.0071	1	1.8295
16.0148	0.9841	2	13	9	2	COCO_train2014_000000559024.jpg	coco	16.0148	16.9989	2	1.3593
26.0076	0.9996	2	13	9	3	COCO_train2014_000000104919.jpg	coco	26.0076	27.0073	2	1.4013
35.9982	1.0008	2	13	9	4	COCO_train2014_000000340734.jpg	coco	35.9982	36.9991	1	1.3936
46.0071	1.0004	2	13	9	5	COCO_train2014_000000139551.jpg	coco	46.0071	47.0075	2	1.9056
55.9985	1.0008	2	13	9	6	n04599235_18601.JPEG	imagenet	55.9985	56.9993	1	1.8416
66.0069	1.0008	2	13	9	7	windmill3.jpg	scenes	66.0069	67.0077	1	1.4014
75.9987	1.0008	2	13	9	8	n02791124_64.JPEG	imagenet	75.9987	76.9995	2	1.6574
86.0072	1.0008	2	13	9	9	n04591713_4711.JPEG	imagenet	86.0072	87.0080	1	1.5374
95.9990	1.0008	2	13	9	10	n04417672_7941.JPEG	imagenet	95.9990	96.9997	2	1.4013
106.0074	1.0008	2	13	9	11	n01641577_1229.JPEG	rep_imagenet	106.0074	107.0082	1	1.6412
115.9992	1.0008	2	13	9	12	ballroom3.jpg	scenes	115.9992	117.0000	2	1.5611
126.0076	1.0008	2	13	9	13	COCO_train2014_000000038801.jpg	coco	126.0076	127.0084	2	1.6411
135.9993	1.0008	2	13	9	14	n04325704_6620.JPEG	imagenet	135.9993	137.0002	2	1.8890
146.0078	1.0008	2	13	9	15	readingroom5.jpg	scenes	146.0078	147.0086	2	1.7770
155.9995	1.0008	2	13	9	16	COCO_train2014_000000464616.jpg	coco	155.9995	157.0004	1	1.5768
166.0080	1.0008	2	13	9	17	n04493381_10004.JPEG	imagenet	166.0080	167.0088	1	1.5369
175.9998	1.0008	2	13	9	18	n02504458_12555.JPEG	imagenet	175.9998	177.0006	1	1.5927
186.0082	1.0008	2	13	9	19	COCO_train2014_000000292349.jpg	coco	186.0082	187.0090	2	1.5926
196.0000	1.0008	2	13	9	20	COCO_train2014_000000400581.jpg	coco	196.0000	197.0008	2	2.0005
206.0084	1.0008	2	13	9	21	n04125021_14260.JPEG	imagenet	206.0084	207.0092	2	1.7205
216.0002	1.0008	2	13	9	22	n02111500_5675.JPEG	imagenet	216.0002	217.0010	1	1.7124
226.0086	1.0008	2	13	9	23	COCO_train2014_000000399835.jpg	coco	226.0086	227.0094	2	1.7523
236.0004	1.0008	2	13	9	24	concerthall6.jpg	scenes	236.0004	237.0012	1	1.6883
246.0088	1.0008	2	13	9	25	airplanecabin1.jpg	scenes	246.0088	247.0096	2	1.8402
256.0006	1.0008	2	13	9	26	COCO_train2014_000000016344.jpg	coco	256.0006	257.0014	2	1.8801
266.0090	1.0008	2	13	9	27	COCO_train2014_000000036542.jpg	coco	266.0090	267.0098	1	1.9680
276.0008	1.0008	2	13	9	28	COCO_train2014_000000006053.jpg	coco	276.0008	277.0016	2	1.7519
286.0092	1.0008	2	13	9	29	COCO_train2014_000000542304.jpg	coco	286.0092	287.0100	1	1.8559
296.0009	1.0008	2	13	9	30	sandDunes_desert_outdoor9.jpg	scenes	296.0009	297.0017	1	1.3358
306.0094	1.0008	2	13	9	31	n09399592_21478.JPEG	imagenet	306.0094	307.0102	1	1.5278
316.0011	1.0008	2	13	9	32	n02277742_15647.JPEG	rep_imagenet	316.0011	317.0019	1	1.6477
326.0096	1.0008	2	13	9	33	n01630670_2697.JPEG	imagenet	326.0096	327.0104	3	2.0235
336.0013	1.0008	2	13	9	34	n03623198_3026.JPEG	rep_imagenet	336.0013	337.0021	1	1.7591
346.0097	1.0008	2	13	9	35	n02093754_3799.JPEG	imagenet	346.0097	347.0105	1	1.6234
356.0015	1.0008	2	13	9	36	n07932039_8461.JPEG	imagenet	356.0015	357.0023	2	1.5673
366.0099	1.0008	2	13	9	37	COCO_train2014_000000232648.jpg	coco	366.0099	367.0107	2	1.5432
