onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0256	0.9845	3	15	7	1	COCO_train2014_000000476380.jpg	coco	6.0256	7.0100	1	1.5567
16.0010	1.0007	3	15	7	2	COCO_train2014_000000354111.jpg	coco	16.0010	17.0017	2	2.2403
26.0092	1.0008	3	15	7	3	COCO_train2014_000000352236.jpg	coco	26.0092	27.0100	2	1.8263
36.0009	1.0008	3	15	7	4	COCO_train2014_000000124840.jpg	coco	36.0009	37.0017	2	3.7544
46.0093	1.0008	3	15	7	5	COCO_train2014_000000062547.jpg	coco	46.0093	47.0101	3	2.1465
56.0010	1.0008	3	15	7	6	jail3.jpg	scenes	56.0010	57.0018	2	1.8501
66.0094	1.0008	3	15	7	7	n02231487_3028.JPEG	imagenet	66.0094	67.0101	2	1.6823
76.0010	1.0008	3	15	7	8	bambooforest5.jpg	scenes	76.0010	77.0018	1	2.0581
86.0094	1.0008	3	15	7	9	n03976467_8043.JPEG	imagenet	86.0094	87.0102	2	2.0099
96.0012	1.0008	3	15	7	10	n03717622_2521.JPEG	imagenet	96.0012	97.0019	2	3.5938
106.0095	1.0008	3	15	7	11	mallindoor7.jpg	scenes	106.0095	107.0103	3	3.0736
116.0012	1.0008	3	15	7	12	n03584829_313.JPEG	imagenet	116.0012	117.0020	2	2.5455
126.0096	1.0008	3	15	7	13	n02033041_3885.JPEG	imagenet	126.0096	127.0104	1	1.8574
136.0013	1.0008	3	15	7	14	COCO_train2014_000000523272.jpg	rep_coco	136.0013	137.0021	1	3.4812
146.0097	1.0008	3	15	7	15	bathroomSink8.jpg	scenes	146.0097	147.0105	3	1.9531
156.0013	1.0008	3	15	7	16	COCO_train2014_000000571948.jpg	coco	156.0013	157.0022	1	2.7370
166.0097	1.0008	3	15	7	17	COCO_train2014_000000091637.jpg	coco	166.0097	167.0105	2	3.8088
176.0014	1.0008	3	15	7	18	n03131574_8058.JPEG	imagenet	176.0014	177.0022	2	4.5686
186.0098	1.0008	3	15	7	19	ballroom2.jpg	scenes	186.0098	187.0106	1	1.7206
196.0015	1.0008	3	15	7	20	n03814906_31184.JPEG	imagenet	196.0015	197.0023	2	1.5524
206.0099	1.0008	3	15	7	21	COCO_train2014_000000338987.jpg	coco	206.0099	207.0107	2	1.8723
216.0016	1.0008	3	15	7	22	n03794056_5175.JPEG	imagenet	216.0016	217.0024	2	1.5762
226.0100	1.0008	3	15	7	23	COCO_train2014_000000162182.jpg	coco	226.0100	227.0108	1	3.2719
236.0017	1.0008	3	15	7	24	n04074963_2601.JPEG	imagenet	236.0017	237.0025	2	1.5759
246.0100	1.0008	3	15	7	25	harbor6.jpg	scenes	246.0100	247.0109	2	2.0476
256.0017	1.0008	3	15	7	26	COCO_train2014_000000099568.jpg	coco	256.0017	257.0025	1	2.9035
266.0101	1.0008	3	15	7	27	n02859443_5607.JPEG	imagenet	266.0101	267.0109	2	2.0073
276.0018	1.0008	3	15	7	28	n04515003_31186.JPEG	imagenet	276.0018	277.0026	1	3.5673
286.0102	0.9844	3	15	7	29	COCO_train2014_000000160000.jpg	coco	286.0102	286.9946	2	4.6230
296.0019	1.0008	3	15	7	30	n03291819_5030.JPEG	imagenet	296.0019	297.0027	2	1.7270
306.0102	0.9844	3	15	7	31	COCO_train2014_000000340734.jpg	coco	306.0102	306.9946	2	2.7669
316.0020	1.0008	3	15	7	32	tvstudio4.jpg	scenes	316.0020	317.0027	2	1.9748
326.0103	0.9842	3	15	7	33	COCO_train2014_000000035216.jpg	coco	326.0103	326.9945	2	3.3106
336.0020	1.0008	3	15	7	34	sidewalk1.jpg	rep_scenes	336.0020	337.0028	1	1.9106
346.0104	0.9841	3	15	7	35	COCO_train2014_000000367853.jpg	coco	346.0104	346.9945	1	1.9103
356.0021	1.0008	3	15	7	36	n07613480_5958.JPEG	imagenet	356.0021	357.0029	1	3.1742
366.0105	0.9841	3	15	7	37	n02013706_6401.JPEG	imagenet	366.0105	366.9946	1	1.8701
