onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0276	0.9675	3	1	3	1	n02229544_250.JPEG	imagenet	6.0276	6.9950	2	2.0752
16.0030	1.0008	3	1	3	2	dinosaur1.jpg	scenes	16.0030	17.0037	1	2.4392
26.0113	0.9841	3	1	3	3	COCO_train2014_000000225829.jpg	coco	26.0113	26.9953	1	1.8415
36.0030	1.0008	3	1	3	4	hallway4.jpg	scenes	36.0030	37.0038	3	3.3056
46.0114	0.9845	3	1	3	5	COCO_train2014_000000557848.jpg	coco	46.0114	46.9959	1	1.8413
56.0031	1.0008	3	1	3	6	n03496892_10109.JPEG	imagenet	56.0031	57.0039	2	2.7776
66.0115	0.9841	3	1	3	7	COCO_train2014_000000116603.jpg	coco	66.0115	66.9956	1	1.6174
76.0032	1.0008	3	1	3	8	n02280649_2534.JPEG	imagenet	76.0032	77.0040	2	2.8493
86.0116	0.9842	3	1	3	9	COCO_train2014_000000275902.jpg	coco	86.0116	86.9958	1	1.9293
96.0033	1.0008	3	1	3	10	COCO_train2014_000000475236.jpg	coco	96.0033	97.0041	1	2.4810
106.0117	0.9841	3	1	3	11	COCO_train2014_000000190964.jpg	rep_coco	106.0117	106.9958	1	2.2570
116.0035	1.0008	3	1	3	12	n02783161_2952.JPEG	imagenet	116.0035	117.0043	3	2.5848
126.0118	0.9841	3	1	3	13	n03961711_21196.JPEG	imagenet	126.0118	126.9960	2	3.4647
136.0035	1.0008	3	1	3	14	COCO_train2014_000000002559.jpg	coco	136.0035	137.0044	3	3.7766
146.0119	0.9841	3	1	3	15	n02948072_4353.JPEG	imagenet	146.0119	146.9961	2	3.0165
156.0036	1.0008	3	1	3	16	winebarrel2.jpg	scenes	156.0036	157.0045	1	2.2403
166.0121	0.9841	3	1	3	17	laundromat3.jpg	scenes	166.0121	166.9962	3	3.0242
176.0038	1.0008	3	1	3	18	COCO_train2014_000000315994.jpg	coco	176.0038	177.0046	1	2.4800
185.9953	1.0010	3	1	3	19	n02110958_4869.JPEG	imagenet	185.9953	186.9963	1	1.7360
196.0039	1.0008	3	1	3	20	COCO_train2014_000000146725.jpg	coco	196.0039	197.0047	2	2.3597
205.9953	1.0011	3	1	3	21	COCO_train2014_000000029323.jpg	coco	205.9953	206.9964	3	2.6157
216.0041	1.0008	3	1	3	22	n03950228_8249.JPEG	imagenet	216.0041	217.0048	2	3.3037
225.9955	1.0011	3	1	3	23	observatory2.jpg	scenes	225.9955	226.9965	2	2.1194
236.0041	1.0008	3	1	3	24	n04336792_2479.JPEG	imagenet	236.0041	237.0049	3	2.1193
245.9955	1.0011	3	1	3	25	n02125311_9205.JPEG	imagenet	245.9955	246.9966	1	1.9433
256.0043	1.0008	3	1	3	26	n02105505_5107.JPEG	imagenet	256.0043	257.0050	1	2.4551
265.9962	1.0006	3	1	3	27	COCO_train2014_000000376858.jpg	coco	265.9962	266.9968	1	1.4550
276.0044	1.0008	3	1	3	28	COCO_train2014_000000030565.jpg	coco	276.0044	277.0052	1	1.2229
285.9964	1.0005	3	1	3	29	COCO_train2014_000000040399.jpg	coco	285.9964	286.9969	3	1.7988
296.0045	1.0008	3	1	3	30	n02002724_1411.JPEG	imagenet	296.0045	297.0053	1	2.2706
305.9961	1.0009	3	1	3	31	COCO_train2014_000000354070.jpg	coco	305.9961	306.9970	2	2.5345
316.0046	1.0008	3	1	3	32	n03461385_91813.JPEG	rep_imagenet	316.0046	317.0054	3	3.7104
325.9963	1.0008	3	1	3	33	n02823428_4996.JPEG	imagenet	325.9963	326.9971	2	2.0862
336.0047	1.0008	3	1	3	34	COCO_train2014_000000260400.jpg	coco	336.0047	337.0055	1	1.5024
345.9964	1.0008	3	1	3	35	labClass3.jpg	scenes	345.9964	346.9972	3	2.0221
356.0048	1.0008	3	1	3	36	n04532106_11248.JPEG	imagenet	356.0048	357.0056	1	2.0620
365.9965	1.0008	3	1	3	37	diner12.jpg	scenes	365.9965	366.9973	1	2.7659
