onset	duration	TR	Trial	StimOn	StimOff	cond	image	1back	Response	RT	Accuracy
12.0287	0.7670	6.014330	1	12.028660	12.795654	Scene	114.jpg	1	0	0.000000	correct rejection
13.0128	0.7837	6.506414	2	13.012828	13.796515	Scene	116.jpg	1	0	0.000000	correct rejection
14.0136	0.7837	7.006801	3	14.013602	14.797269	Scene	040.jpg	1	0	0.000000	correct rejection
14.9977	0.8004	7.498847	4	14.997693	15.798102	Scene	085.jpg	1	0	0.000000	correct rejection
15.9986	0.8003	7.999293	5	15.998586	16.798928	Scene	073.jpg	1	0	0.000000	correct rejection
16.9997	0.8001	8.499859	6	16.999718	17.799771	Scene	025.jpg	1	0	0.000000	correct rejection
18.0002	0.8004	9.000104	7	18.000208	18.800615	Scene	102.jpg	1	0	0.000000	correct rejection
19.0011	0.8004	9.500537	8	19.001074	19.801447	Scene	102.jpg	2	1	750.001907	hit              
20.0019	0.8004	10.000949	9	20.001897	20.802315	Scene	090.JPG	1	1	3.513098	false alarm      
21.0028	0.8004	10.501376	10	21.002752	21.803132	Scene	032.jpg	1	0	0.000000	correct rejection
22.0036	0.8004	11.001814	11	22.003628	22.803982	Scene	032.jpg	2	1	715.366125	hit              
23.0044	0.8004	11.502214	12	23.004428	23.804857	Scene	018.jpg	1	1	1.214981	false alarm      
24.0053	0.8004	12.002653	13	24.005305	24.805666	Scene	132.jpg	1	0	0.000000	correct rejection
25.0062	0.8003	12.503091	14	25.006181	25.806495	Scene	086.JPG	1	0	0.000000	correct rejection
26.0070	0.8003	13.003498	15	26.006996	26.807333	Scene	135.jpg	1	0	0.000000	correct rejection
27.0078	0.8004	13.503913	16	27.007825	27.808182	Scene	133.jpg	1	0	0.000000	correct rejection
28.0088	6.0000	14.004423	fix	28.008846	0.000000	fix	fix	fix	fix	fix	n/a
34.0301	0.7673	17.015029	17	34.030058	34.797401	Scrambled	scambled_house (32).jpg	1	0	0.000000	correct rejection
34.9978	0.8004	17.498903	18	34.997805	35.798216	Scrambled	scambled_house (32).jpg	2	1	665.220976	hit              
35.9987	0.8004	17.999341	19	35.998681	36.799061	Scrambled	scambled_sun_djdeitrckcbvpdam.jpg	1	1	6.120920	false alarm      
36.9995	0.8003	18.499771	20	36.999541	37.799882	Scrambled	scambled_sun_djdeitrckcbvpdam.jpg	2	1	735.255957	hit              
38.0003	0.8004	19.000167	21	38.000333	38.800729	Scrambled	scambled_697_1343838978.JPG	1	1	4.247904	false alarm      
39.0012	0.8004	19.500606	22	39.001212	39.801582	Scrambled	scambled_sun_bbwlgfnxaocrxula.jpg	1	0	0.000000	correct rejection
40.0020	0.8004	20.001011	23	40.002021	40.802419	Scrambled	scambled_Furnished-Office.jpg	1	0	0.000000	correct rejection
41.0029	0.8003	20.501448	24	41.002895	41.803241	Scrambled	scambled_bluff-house-living-room.jpg	1	0	0.000000	correct rejection
42.0038	0.8003	21.001878	25	42.003756	42.804091	Scrambled	scambled_sun_ajofholrxfzifcca.jpg	1	0	0.000000	correct rejection
43.0046	0.8004	21.502282	26	43.004564	43.804939	Scrambled	scambled_sun_aghsutguqpsbxebg.jpg	1	0	0.000000	correct rejection
44.0054	0.8004	22.002703	27	44.005405	44.805763	Scrambled	scambled_tennisCourt.jpg	1	0	0.000000	correct rejection
45.0063	0.8004	22.503143	28	45.006285	45.806636	Scrambled	scambled_Model_bedroom1rot.jpg	1	0	0.000000	correct rejection
46.0072	0.8003	23.003585	29	46.007170	46.807465	Scrambled	scambled_clothingStore.jpg	1	0	0.000000	correct rejection
47.0079	0.8004	23.503970	30	47.007940	47.808304	Scrambled	scambled_country-house-bedroom-design-ideas-585x587.jpg	1	0	0.000000	correct rejection
48.0088	0.8003	24.004421	31	48.008842	48.809128	Scrambled	scambled_sun_abkmizyubcfcudbr.jpg	1	0	0.000000	correct rejection
49.0096	0.7837	24.504809	32	49.009617	49.793270	Scrambled	scambled_elevator.jpg	1	0	0.000000	correct rejection
49.9941	6.0000	24.997069	fix	49.994138	0.000000	fix	fix	fix	fix	fix	n/a
56.0155	0.7837	28.007741	33	56.015482	56.799169	WkObject	Newspaper.jpg	1	0	0.000000	correct rejection
56.9996	0.8004	28.499804	34	56.999609	57.799996	WkObject	Newspaper.jpg	2	1	622.977018	hit              
58.0004	0.8004	29.000214	35	58.000427	58.800829	WkObject	pen.jpg	1	1	5.146980	false alarm      
59.0013	0.8004	29.500633	36	59.001266	59.801688	WkObject	good-duffel.jpg	1	0	0.000000	correct rejection
60.0021	0.8004	30.001070	37	60.002139	60.802526	WkObject	sattelitedish.jpg	1	0	0.000000	correct rejection
61.0030	0.8004	30.501486	38	61.002972	61.803357	WkObject	bench.jpg	1	0	0.000000	correct rejection
62.0038	0.8003	31.001923	39	62.003846	62.804195	WkObject	calculator01.jpg	1	0	0.000000	correct rejection
63.0049	0.8002	31.502450	40	63.004900	63.805052	WkObject	chess.JPG	1	0	0.000000	correct rejection
64.0055	0.8004	32.002768	41	64.005535	64.805893	WkObject	chess.JPG	2	1	560.977936	hit              
65.0064	0.8003	32.503211	42	65.006422	65.806752	WkObject	wax_candle.jpg	1	0	0.000000	correct rejection
66.0072	0.8004	33.003602	43	66.007203	66.807568	WkObject	fireExt.jpg	1	0	0.000000	correct rejection
67.0081	0.8003	33.504037	44	67.008073	67.808384	WkObject	humidifier.jpg	1	0	0.000000	correct rejection
68.0089	0.8003	34.004449	45	68.008899	68.809219	WkObject	lamp.jpg	1	0	0.000000	correct rejection
69.0098	0.7837	34.504888	46	69.009776	69.793431	WkObject	lock.jpg	1	0	0.000000	correct rejection
70.0106	0.7837	35.005284	47	70.010567	70.794278	WkObject	jar.jpg	1	0	0.000000	correct rejection
71.0114	0.7837	35.505708	48	71.011416	71.795074	WkObject	step_stool.jpg	1	0	0.000000	correct rejection
71.9956	6.0000	35.997779	fix	71.995558	0.000000	fix	fix	fix	fix	fix	n/a
78.0170	0.7839	39.008494	49	78.016989	78.800931	Scene	045.jpg	1	0	0.000000	correct rejection
79.0014	0.8004	39.500713	50	79.001426	79.801781	Scene	070.jpg	1	0	0.000000	correct rejection
80.0022	0.8004	40.001119	51	80.002238	80.802614	Scene	108.jpg	1	0	0.000000	correct rejection
81.0031	0.8003	40.501572	52	81.003144	81.803459	Scene	108.jpg	2	1	595.147133	hit              
82.0040	0.8003	41.001996	53	82.003992	82.804336	Scene	072.jpg	1	1	0.603914	false alarm      
83.0053	0.7998	41.502656	54	83.005311	83.805153	Scene	072.jpg	2	1	632.946014	hit              
84.0056	0.8004	42.002820	55	84.005639	84.806016	Scene	082.jpg	1	0	0.000000	correct rejection
85.0066	0.8002	42.503303	56	85.006605	85.806835	Scene	065.jpg	1	0	0.000000	correct rejection
86.0074	0.8003	43.003684	57	86.007368	86.807664	Scene	020.jpg	1	0	0.000000	correct rejection
87.0081	0.8004	43.504072	58	87.008143	87.808511	Scene	066.jpg	1	0	0.000000	correct rejection
88.0090	0.8004	44.004485	59	88.008969	88.809340	Scene	013.jpg	1	0	0.000000	correct rejection
89.0099	0.7836	44.504937	60	89.009874	89.793521	Scene	007.jpg	1	0	0.000000	correct rejection
90.0107	0.7836	45.005345	61	90.010689	90.794334	Scene	033.jpg	1	0	0.000000	correct rejection
91.0115	0.7837	45.505753	62	91.011505	91.795177	Scene	011.jpg	1	0	0.000000	correct rejection
92.0124	0.7836	46.006195	63	92.012390	92.796030	Scene	046.jpg	1	0	0.000000	correct rejection
92.9965	0.8003	46.498267	64	92.996533	93.796859	Scene	069.jpg	1	0	0.000000	correct rejection
93.9974	6.0000	46.998694	fix	93.997388	0.000000	fix	fix	fix	fix	fix	n/a
100.0024	0.8004	50.001182	65	100.002363	100.802740	WkObject	clock.jpg	1	0	0.000000	correct rejection
101.0032	0.8004	50.501597	66	101.003194	101.803577	WkObject	clock.jpg	2	1	458.811998	hit              
102.0041	0.8004	51.002044	67	102.004088	102.804471	WkObject	hotairballoon.jpg	1	0	0.000000	correct rejection
103.0049	0.8004	51.502444	68	103.004888	103.805252	WkObject	scissors.jpg	1	0	0.000000	correct rejection
104.0057	0.8006	52.002859	69	104.005718	104.806336	WkObject	bottle.jpg	1	0	0.000000	correct rejection
105.0066	0.8003	52.503314	70	105.006628	105.806935	WkObject	armyknife.jpg	1	0	0.000000	correct rejection
106.0074	0.8003	53.003716	71	106.007432	106.807766	WkObject	coffee.jpg	1	0	0.000000	correct rejection
107.0083	0.8004	53.504129	72	107.008257	107.808611	WkObject	tree.jpg	1	0	0.000000	correct rejection
108.0091	0.8003	54.004572	73	108.009143	108.809455	WkObject	bike.jpg	1	0	0.000000	correct rejection
109.0100	0.7837	54.504978	74	109.009955	109.793607	WkObject	spraybottle01.jpg	1	0	0.000000	correct rejection
110.0108	0.7836	55.005413	75	110.010825	110.794460	WkObject	surge.jpg	1	0	0.000000	correct rejection
111.0117	0.7836	55.505832	76	111.011663	111.795294	WkObject	surge.jpg	2	1	722.221851	hit              
112.0125	0.7837	56.006253	77	112.012506	112.796193	WkObject	radiator.jpg	1	1	3.401995	false alarm      
112.9975	0.7995	56.498752	78	112.997503	113.796983	WkObject	umbrella2.jpg	1	0	0.000000	correct rejection
113.9974	0.8004	56.998707	79	113.997414	114.797805	WkObject	box.jpg	1	0	0.000000	correct rejection
