onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0345	0.9674	2	10	1	1	COCO_train2014_000000481521.jpg	coco	6.0345	7.0019	2	1.8868
16.0100	1.0006	2	10	1	2	tenniscourt5.jpg	scenes	16.0100	17.0106	2	1.4418
26.0014	1.0008	2	10	1	3	n02769748_48996.JPEG	imagenet	26.0014	27.0022	2	2.2291
36.0098	1.0008	2	10	1	4	COCO_train2014_000000067053.jpg	coco	36.0098	37.0106	1	1.5089
46.0015	1.0008	2	10	1	5	n02701002_703.JPEG	imagenet	46.0015	47.0023	2	1.8367
56.0099	1.0008	2	10	1	6	COCO_train2014_000000055764.jpg	coco	56.0099	57.0107	1	1.7325
66.0016	1.0008	2	10	1	7	n02356798_2870.JPEG	imagenet	66.0016	67.0024	2	2.1568
76.0100	1.0008	2	10	1	8	n03742115_4929.JPEG	imagenet	76.0100	77.0108	3	2.0686
86.0017	1.0008	2	10	1	9	COCO_train2014_000000539879.jpg	coco	86.0017	87.0025	2	1.4442
96.0101	1.0008	2	10	1	10	n04479046_447.JPEG	imagenet	96.0101	97.0109	1	2.3003
106.0018	1.0008	2	10	1	11	COCO_train2014_000000419759.jpg	coco	106.0018	107.0026	2	1.4362
116.0102	0.9843	2	10	1	12	COCO_train2014_000000561006.jpg	coco	116.0102	116.9945	2	2.2041
126.0019	1.0008	2	10	1	13	COCO_train2014_000000101877.jpg	coco	126.0019	127.0027	2	2.0919
136.0103	0.9843	2	10	1	14	olympicswimmingpool8.jpg	scenes	136.0103	136.9945	1	1.7159
146.0020	1.0008	2	10	1	15	pharmacy6.jpg	scenes	146.0020	147.0028	2	1.8278
156.0104	0.9842	2	10	1	16	n02950826_22506.JPEG	imagenet	156.0104	156.9946	2	2.1795
166.0021	1.0020	2	10	1	17	coralreef3.jpg	scenes	166.0021	167.0041	1	1.7236
176.0105	0.9841	2	10	1	18	baggageClaim4.jpg	scenes	176.0105	176.9945	2	1.6833
186.0022	1.0008	2	10	1	19	n02098413_10777.JPEG	imagenet	186.0022	187.0030	1	1.6034
196.0106	0.9841	2	10	1	20	COCO_train2014_000000461208.jpg	coco	196.0106	196.9947	1	2.1950
206.0024	1.0007	2	10	1	21	dock4.jpg	scenes	206.0024	207.0031	1	1.6511
216.0107	0.9841	2	10	1	22	n03840681_5572.JPEG	imagenet	216.0107	216.9947	2	1.8188
226.0024	1.0008	2	10	1	23	COCO_train2014_000000006178.jpg	coco	226.0024	227.0032	3	1.9308
236.0108	0.9848	2	10	1	24	COCO_train2014_000000081961.jpg	coco	236.0108	236.9956	2	2.1305
246.0025	1.0008	2	10	1	25	n02229544_6831.JPEG	rep_imagenet	246.0025	247.0033	3	1.3865
256.0109	0.9841	2	10	1	26	n03929855_5673.JPEG	imagenet	256.0109	256.9949	2	2.0743
266.0026	1.0008	2	10	1	27	n02113978_9805.JPEG	rep_imagenet	266.0026	267.0034	1	1.8024
276.0110	0.9846	2	10	1	28	n03259280_1792.JPEG	imagenet	276.0110	276.9956	2	2.0900
286.0026	1.0008	2	10	1	29	COCO_train2014_000000195650.jpg	coco	286.0026	287.0035	1	1.8820
296.0111	0.9849	2	10	1	30	COCO_train2014_000000367853.jpg	coco	296.0111	296.9959	1	1.9058
306.0028	1.0008	2	10	1	31	n03476684_18045.JPEG	imagenet	306.0028	307.0036	2	1.9058
316.0111	0.9842	2	10	1	32	ATM1.jpg	scenes	316.0111	316.9954	2	2.4256
326.0028	1.0008	2	10	1	33	COCO_train2014_000000116603.jpg	rep_coco	326.0028	327.0037	1	1.9375
336.0113	0.9844	2	10	1	34	n03692522_13672.JPEG	imagenet	336.0113	336.9956	2	2.1133
346.0030	1.0008	2	10	1	35	COCO_train2014_000000353270.jpg	coco	346.0030	347.0037	2	2.0491
356.0113	0.9841	2	10	1	36	COCO_train2014_000000557848.jpg	coco	356.0113	356.9955	2	1.7692
366.0030	1.0008	2	10	1	37	n02093647_5407.JPEG	imagenet	366.0030	367.0039	1	1.7530
