onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0377	0.9677	1	6	8	1	n02412080_13297.JPEG	imagenet	6.0377	7.0054	1	1.6066	n02412080_13297.JPEG
16.0129	0.9841	1	6	8	2	checkoutcounter5.jpg	scenes	16.0129	16.9970	3	2.4777	checkoutcounter5.jpg
26.0046	1.0008	1	6	8	3	n03065424_30673.JPEG	imagenet	26.0046	27.0054	1	1.4478	n03065424_30673.JPEG
35.9966	1.0006	1	6	8	4	COCO_train2014_000000298170.jpg	coco	35.9966	36.9972	2	1.3199	COCO_train2014_000000298170.jpg
46.0047	1.0008	1	6	8	5	n04252225_28703.JPEG	imagenet	46.0047	47.0056	2	6.2075	n04252225_28703.JPEG
55.9964	1.0008	1	6	8	6	firestation4.jpg	scenes	55.9964	56.9973	2	2.1918	firestation4.jpg
66.0048	1.0008	1	6	8	7	COCO_train2014_000000329474.jpg	coco	66.0048	67.0056	1	1.4799	COCO_train2014_000000329474.jpg
75.9965	1.0008	1	6	8	8	COCO_train2014_000000361197.jpg	coco	75.9965	76.9974	2	3.2556	COCO_train2014_000000361197.jpg
86.0049	1.0009	1	6	8	9	n04465501_9230.JPEG	rep_imagenet	86.0049	87.0058	3	1.9995	n04465501_9230.JPEG
95.9967	1.0008	1	6	8	10	n03868242_8543.JPEG	imagenet	95.9967	96.9975	1	1.6234	n03868242_8543.JPEG
106.0051	1.0007	1	6	8	11	COCO_train2014_000000064492.jpg	coco	106.0051	107.0059	3	4.3032	COCO_train2014_000000064492.jpg
115.9968	1.0008	1	6	8	12	fireEscape10.jpg	scenes	115.9968	116.9976	2	1.5272	fireEscape10.jpg
126.0052	1.0008	1	6	8	13	COCO_train2014_000000424979.jpg	coco	126.0052	127.0060	1	2.6710	COCO_train2014_000000424979.jpg
135.9969	1.0008	1	6	8	14	COCO_train2014_000000191686.jpg	rep_coco	135.9969	136.9977	1	1.5909	COCO_train2014_000000191686.jpg
146.0053	1.0008	1	6	8	15	n03868242_1758.JPEG	imagenet	146.0053	147.0061	1	4.9028	n03868242_1758.JPEG
155.9970	1.0009	1	6	8	16	promenadeDeck6.jpg	scenes	155.9970	156.9978	1	1.3587	promenadeDeck6.jpg
166.0064	0.9999	1	6	8	17	COCO_train2014_000000202805.jpg	coco	166.0064	167.0062	3	2.1825	COCO_train2014_000000202805.jpg
175.9971	1.0008	1	6	8	18	COCO_train2014_000000357074.jpg	coco	175.9971	176.9980	3	2.0144	COCO_train2014_000000357074.jpg
186.0055	1.0008	1	6	8	19	COCO_train2014_000000005028.jpg	coco	186.0055	187.0063	1	1.8143	COCO_train2014_000000005028.jpg
195.9973	1.0008	1	6	8	20	COCO_train2014_000000558788.jpg	coco	195.9973	196.9981	2	2.8221	COCO_train2014_000000558788.jpg
206.0061	1.0004	1	6	8	21	restaurantkitchen5.jpg	scenes	206.0061	207.0064	1	2.6461	restaurantkitchen5.jpg
215.9973	1.0009	1	6	8	22	n03481172_16310.JPEG	imagenet	215.9973	216.9982	1	3.5659	n03481172_16310.JPEG
226.0063	1.0003	1	6	8	23	n02085620_6945.JPEG	imagenet	226.0063	227.0066	1	1.2939	n02085620_6945.JPEG
235.9975	1.0008	1	6	8	24	COCO_train2014_000000000790.jpg	coco	235.9975	236.9983	1	3.5657	COCO_train2014_000000000790.jpg
246.0063	1.0004	1	6	8	25	shower2.jpg	scenes	246.0063	247.0067	1	1.3417	shower2.jpg
255.9976	1.0008	1	6	8	26	conference3.jpg	scenes	255.9976	256.9984	2	4.5014	conference3.jpg
266.0064	1.0004	1	6	8	27	COCO_train2014_000000245946.jpg	coco	266.0064	267.0068	1	1.3175	COCO_train2014_000000245946.jpg
275.9977	1.0008	1	6	8	28	COCO_train2014_000000010743.jpg	coco	275.9977	276.9985	2	2.0612	COCO_train2014_000000010743.jpg
286.0066	1.0003	1	6	8	29	n04141327_1203.JPEG	imagenet	286.0066	287.0069	3	2.5811	n04141327_1203.JPEG
295.9978	1.0008	1	6	8	30	n04372370_29525.JPEG	imagenet	295.9978	296.9986	2	1.2851	n04372370_29525.JPEG
306.0064	1.0006	1	6	8	31	n02125311_9205.JPEG	imagenet	306.0064	307.0070	1	1.7009	n02125311_9205.JPEG
315.9979	1.0008	1	6	8	32	COCO_train2014_000000469816.jpg	coco	315.9979	316.9987	2	4.0928	COCO_train2014_000000469816.jpg
326.0067	1.0004	1	6	8	33	n02396427_17182.JPEG	imagenet	326.0067	327.0071	1	1.2928	n02396427_17182.JPEG
335.9980	1.0008	1	6	8	34	n03706229_3814.JPEG	imagenet	335.9980	336.9988	2	2.9486	n03706229_3814.JPEG
346.0066	1.0006	1	6	8	35	COCO_train2014_000000310870.jpg	coco	346.0066	347.0072	1	1.4525	COCO_train2014_000000310870.jpg
355.9981	1.0009	1	6	8	36	COCO_train2014_000000458057.jpg	coco	355.9981	356.9990	2	2.2122	COCO_train2014_000000458057.jpg
366.0067	1.0006	1	6	8	37	n01984695_57624.JPEG	imagenet	366.0067	367.0073	2	6.1881	n01984695_57624.JPEG
