onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0377	0.9678	4	9	4	1	n09472597_50230.JPEG	imagenet	6.0377	7.0055	1	1.4242
16.0131	0.9849	4	9	4	2	n02033041_3885.JPEG	imagenet	16.0131	16.9980	1	1.2714
26.0047	1.0008	4	9	4	3	COCO_train2014_000000304587.jpg	coco	26.0047	27.0055	2	1.2579
35.9964	1.0008	4	9	4	4	COCO_train2014_000000441891.jpg	coco	35.9964	36.9972	1	1.3054
46.0051	1.0005	4	9	4	5	n04273569_31172.JPEG	imagenet	46.0051	47.0056	1	1.2338
56.0132	0.9841	4	9	4	6	COCO_train2014_000000450864.jpg	rep_coco	56.0132	56.9973	1	1.2817
66.0049	1.0008	4	9	4	7	n02117135_17291.JPEG	imagenet	66.0049	67.0057	1	1.3695
75.9966	1.0008	4	9	4	8	n02361337_944.JPEG	imagenet	75.9966	76.9974	1	1.2654
86.0050	1.0009	4	9	4	9	n03793489_4253.JPEG	imagenet	86.0050	87.0058	2	1.3372
95.9968	1.0008	4	9	4	10	COCO_train2014_000000354645.jpg	coco	95.9968	96.9976	2	1.3131
106.0070	0.9989	4	9	4	11	COCO_train2014_000000082464.jpg	coco	106.0070	107.0060	2	1.2971
115.9969	1.0008	4	9	4	12	island2.jpg	scenes	115.9969	116.9977	1	1.3129
126.0052	1.0008	4	9	4	13	n03729826_15069.JPEG	imagenet	126.0052	127.0060	2	1.2888
135.9969	1.0009	4	9	4	14	COCO_train2014_000000505057.jpg	coco	135.9969	136.9978	2	1.3126
146.0072	0.9990	4	9	4	15	glaciers_outdoor2.jpg	scenes	146.0072	147.0062	1	1.2805
155.9971	1.0008	4	9	4	16	n04435653_2335.JPEG	imagenet	155.9971	156.9979	2	1.3284
166.0054	1.0008	4	9	4	17	n02799071_35743.JPEG	imagenet	166.0054	167.0063	2	1.2802
175.9972	1.0008	4	9	4	18	COCO_train2014_000000032474.jpg	coco	175.9972	176.9980	2	1.6721
186.0057	1.0007	4	9	4	19	n04229816_5019.JPEG	imagenet	186.0057	187.0064	2	1.2160
195.9973	1.0008	4	9	4	20	COCO_train2014_000000135316.jpg	coco	195.9973	196.9981	3	1.2799
206.0075	0.9990	4	9	4	21	n02106550_12073.JPEG	imagenet	206.0075	207.0065	1	1.3275
215.9974	1.0008	4	9	4	22	COCO_train2014_000000280764.jpg	coco	215.9974	216.9982	2	1.2557
226.0071	0.9995	4	9	4	23	hayfield6.jpg	scenes	226.0071	227.0066	1	1.2715
235.9975	1.0008	4	9	4	24	COCO_train2014_000000090569.jpg	rep_coco	235.9975	236.9983	1	1.2874
246.0071	0.9996	4	9	4	25	COCO_train2014_000000244967.jpg	coco	246.0071	247.0067	2	1.3033
255.9977	1.0008	4	9	4	26	cockpit1.jpg	scenes	255.9977	256.9984	2	1.4151
266.0067	1.0001	4	9	4	27	n04443257_7473.JPEG	imagenet	266.0067	267.0068	2	1.3511
275.9977	1.0009	4	9	4	28	COCO_train2014_000000531828.jpg	coco	275.9977	276.9986	1	1.2149
286.0069	1.0000	4	9	4	29	apartmentBuilding4.jpg	scenes	286.0069	287.0069	2	1.5348
295.9978	1.0008	4	9	4	30	COCO_train2014_000000239013.jpg	coco	295.9978	296.9986	2	1.2947
306.0068	1.0002	4	9	4	31	n02093256_2737.JPEG	imagenet	306.0068	307.0070	1	1.3266
315.9979	1.0008	4	9	4	32	COCO_train2014_000000301603.jpg	coco	315.9979	316.9987	2	1.2866
326.0063	1.0008	4	9	4	33	COCO_train2014_000000281575.jpg	coco	326.0063	327.0071	1	1.3665
335.9980	1.0008	4	9	4	34	coffeeshop5.jpg	scenes	335.9980	336.9989	1	1.3342
346.0064	1.0008	4	9	4	35	ATM4.jpg	scenes	346.0064	347.0073	2	1.3341
355.9981	1.0009	4	9	4	36	COCO_train2014_000000285253.jpg	coco	355.9981	356.9990	2	1.3660
366.0067	1.0006	4	9	4	37	n02701002_703.JPEG	imagenet	366.0067	367.0073	2	1.2459
