onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0288	0.9674	1	12	1	1	COCO_train2014_000000244646.jpg	coco	6.0288	6.9963	2	4.8096	COCO_train2014_000000244646.jpg
16.0041	1.0009	1	12	1	2	n02442845_19700.JPEG	rep_imagenet	16.0041	17.0050	1	1.2880	n02442845_19700.JPEG
26.0125	0.9841	1	12	1	3	n03838899_32856.JPEG	imagenet	26.0125	26.9966	2	2.8100	n03838899_32856.JPEG
36.0042	1.0008	1	12	1	4	COCO_train2014_000000188225.jpg	coco	36.0042	37.0050	2	1.5302	COCO_train2014_000000188225.jpg
45.9960	1.0008	1	12	1	5	COCO_train2014_000000463019.jpg	coco	45.9960	46.9968	1	2.4103	COCO_train2014_000000463019.jpg
56.0046	1.0005	1	12	1	6	COCO_train2014_000000334953.jpg	coco	56.0046	57.0051	1	2.3381	COCO_train2014_000000334953.jpg
65.9968	1.0000	1	12	1	7	COCO_train2014_000000237831.jpg	coco	65.9968	66.9968	3	3.7540	COCO_train2014_000000237831.jpg
76.0052	1.0000	1	12	1	8	n02268443_70872.JPEG	imagenet	76.0052	77.0052	2	3.4334	n02268443_70872.JPEG
85.9969	1.0001	1	12	1	9	island2.jpg	scenes	85.9969	86.9970	1	1.4978	island2.jpg
96.0046	1.0008	1	12	1	10	COCO_train2014_000000507812.jpg	coco	96.0046	97.0054	3	3.8816	COCO_train2014_000000507812.jpg
105.9972	0.9999	1	12	1	11	n06596364_13985.JPEG	imagenet	105.9972	106.9971	2	2.7375	n06596364_13985.JPEG
116.0047	1.0007	1	12	1	12	n02088238_4702.JPEG	imagenet	116.0047	117.0054	1	1.5054	n02088238_4702.JPEG
125.9966	1.0006	1	12	1	13	COCO_train2014_000000175715.jpg	coco	125.9966	126.9972	1	4.1292	COCO_train2014_000000175715.jpg
136.0047	1.0008	1	12	1	14	n07583066_275.JPEG	imagenet	136.0047	137.0056	1	1.4093	n07583066_275.JPEG
145.9968	1.0004	1	12	1	15	n03424325_31318.JPEG	imagenet	145.9968	146.9973	3	3.0250	n03424325_31318.JPEG
156.0049	1.0008	1	12	1	16	COCO_train2014_000000106658.jpg	coco	156.0049	157.0057	2	1.4489	COCO_train2014_000000106658.jpg
165.9965	1.0008	1	12	1	17	COCO_train2014_000000026302.jpg	coco	165.9965	166.9974	3	1.9848	COCO_train2014_000000026302.jpg
176.0057	1.0001	1	12	1	18	n03337140_50607.JPEG	imagenet	176.0057	177.0058	2	2.6327	n03337140_50607.JPEG
185.9966	1.0009	1	12	1	19	n03998194_9700.JPEG	imagenet	185.9966	186.9975	2	1.7365	n03998194_9700.JPEG
196.0050	1.0008	1	12	1	20	n07717410_9329.JPEG	rep_imagenet	196.0050	197.0059	2	3.0964	n07717410_9329.JPEG
205.9968	1.0008	1	12	1	21	n07892512_17445.JPEG	imagenet	205.9968	206.9976	3	4.0082	n07892512_17445.JPEG
216.0056	1.0004	1	12	1	22	COCO_train2014_000000171564.jpg	coco	216.0056	217.0060	3	4.0080	COCO_train2014_000000171564.jpg
225.9969	1.0009	1	12	1	23	treehouse.jpg	scenes	225.9969	226.9977	1	1.4161	treehouse.jpg
236.0053	1.0009	1	12	1	24	COCO_train2014_000000112805.jpg	rep_coco	236.0053	237.0061	2	2.0798	COCO_train2014_000000112805.jpg
245.9970	1.0008	1	12	1	25	hotellobby5.jpg	scenes	245.9970	246.9978	2	1.7678	hotellobby5.jpg
256.0057	1.0005	1	12	1	26	n02727426_11476.JPEG	imagenet	256.0057	257.0062	2	2.7196	n02727426_11476.JPEG
265.9973	1.0006	1	12	1	27	n02395406_7919.JPEG	imagenet	265.9973	266.9979	1	5.2876	n02395406_7919.JPEG
276.0056	1.0007	1	12	1	28	waitingroom3.jpg	scenes	276.0056	277.0063	3	3.3834	waitingroom3.jpg
285.9972	1.0008	1	12	1	29	COCO_train2014_000000413922.jpg	coco	285.9972	286.9980	2	1.7113	COCO_train2014_000000413922.jpg
296.0056	1.0008	1	12	1	30	n01704323_514.JPEG	imagenet	296.0056	297.0064	2	4.6391	n01704323_514.JPEG
305.9973	1.0009	1	12	1	31	treehouse2.jpg	scenes	305.9973	306.9981	1	1.3191	treehouse2.jpg
316.0060	1.0005	1	12	1	32	rooftop3.jpg	scenes	316.0060	317.0065	2	4.0469	rooftop3.jpg
325.9975	1.0007	1	12	1	33	COCO_train2014_000000573337.jpg	coco	325.9975	326.9983	3	2.5267	COCO_train2014_000000573337.jpg
336.0058	1.0008	1	12	1	34	COCO_train2014_000000561677.jpg	coco	336.0058	337.0066	1	2.0867	COCO_train2014_000000561677.jpg
345.9975	1.0008	1	12	1	35	COCO_train2014_000000037779.jpg	coco	345.9975	346.9984	3	6.2464	COCO_train2014_000000037779.jpg
356.0059	1.0008	1	12	1	36	concert1.jpg	scenes	356.0059	357.0068	3	1.4545	concert1.jpg
365.9976	1.0008	1	12	1	37	n02497673_8398.JPEG	imagenet	365.9976	366.9985	1	3.3663	n02497673_8398.JPEG
