onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0351	0.9674	2	13	1	1	COCO_train2014_000000523236.jpg	rep_coco	6.0351	7.0025	1	1.6051	COCO_train2014_000000523236.jpg
16.0104	1.0008	2	13	1	2	n04584207_8095.JPEG	imagenet	16.0104	17.0112	3	1.7605	n04584207_8095.JPEG
26.0019	1.0008	2	13	1	3	COCO_train2014_000000153394.jpg	coco	26.0019	27.0027	2	1.3397	COCO_train2014_000000153394.jpg
36.0108	0.9838	2	13	1	4	COCO_train2014_000000466265.jpg	coco	36.0108	36.9946	2	1.4514	COCO_train2014_000000466265.jpg
46.0019	1.0008	2	13	1	5	elevatorOutside4.jpg	rep_scenes	46.0019	47.0027	2	1.5317	elevatorOutside4.jpg
56.0103	1.0007	2	13	1	6	COCO_train2014_000000265453.jpg	coco	56.0103	57.0110	1	1.6832	COCO_train2014_000000265453.jpg
66.0018	1.0008	2	13	1	7	cabinIndoors5.jpg	scenes	66.0018	67.0027	1	1.6595	cabinIndoors5.jpg
76.0106	1.0004	2	13	1	8	n03017168_3695.JPEG	imagenet	76.0106	77.0110	2	1.4513	n03017168_3695.JPEG
86.0018	1.0008	2	13	1	9	amusement2.jpg	scenes	86.0018	87.0026	2	1.9870	amusement2.jpg
96.0101	1.0008	2	13	1	10	COCO_train2014_000000398949.jpg	coco	96.0101	97.0109	2	1.9149	COCO_train2014_000000398949.jpg
106.0018	1.0008	2	13	1	11	COCO_train2014_000000027665.jpg	coco	106.0018	107.0026	1	1.4747	COCO_train2014_000000027665.jpg
116.0113	0.9996	2	13	1	12	theater2.jpg	scenes	116.0113	117.0109	1	2.1226	theater2.jpg
126.0017	1.0008	2	13	1	13	n02641379_15161.JPEG	imagenet	126.0017	127.0026	3	1.7783	n02641379_15161.JPEG
136.0101	1.0008	2	13	1	14	n04208210_12155.JPEG	imagenet	136.0101	137.0109	2	1.3461	n04208210_12155.JPEG
146.0017	1.0008	2	13	1	15	n04389033_5669.JPEG	imagenet	146.0017	147.0025	3	1.8979	n04389033_5669.JPEG
156.0101	1.0008	2	13	1	16	COCO_train2014_000000085122.jpg	coco	156.0101	157.0109	2	1.4098	COCO_train2014_000000085122.jpg
166.0016	1.0021	2	13	1	17	COCO_train2014_000000325758.jpg	coco	166.0016	167.0037	2	1.6895	COCO_train2014_000000325758.jpg
176.0101	1.0008	2	13	1	18	COCO_train2014_000000406292.jpg	coco	176.0101	177.0108	1	1.9934	COCO_train2014_000000406292.jpg
186.0017	1.0008	2	13	1	19	COCO_train2014_000000462505.jpg	coco	186.0017	187.0025	1	1.6332	COCO_train2014_000000462505.jpg
196.0101	1.0008	2	13	1	20	n03483316_1219.JPEG	imagenet	196.0101	197.0109	2	1.4570	n03483316_1219.JPEG
206.0017	1.0007	2	13	1	21	n02834397_10231.JPEG	imagenet	206.0017	207.0025	2	2.0249	n02834397_10231.JPEG
216.0100	1.0008	2	13	1	22	COCO_train2014_000000130876.jpg	coco	216.0100	217.0108	1	2.1207	COCO_train2014_000000130876.jpg
226.0017	1.0008	2	13	1	23	racecarcourse2.jpg	scenes	226.0017	227.0025	2	1.3685	racecarcourse2.jpg
236.0100	1.0008	2	13	1	24	n02092339_318.JPEG	imagenet	236.0100	237.0109	1	1.4644	n02092339_318.JPEG
246.0016	1.0009	2	13	1	25	hedgemaze4.jpg	scenes	246.0016	247.0025	1	1.5522	hedgemaze4.jpg
256.0101	1.0008	2	13	1	26	n02325366_7131.JPEG	imagenet	256.0101	257.0108	1	1.4880	n02325366_7131.JPEG
266.0017	1.0008	2	13	1	27	COCO_train2014_000000291599.jpg	coco	266.0017	267.0025	1	1.6159	COCO_train2014_000000291599.jpg
276.0100	1.0008	2	13	1	28	COCO_train2014_000000143323.jpg	coco	276.0100	277.0109	2	1.7997	COCO_train2014_000000143323.jpg
286.0017	1.0008	2	13	1	29	n04099969_6395.JPEG	imagenet	286.0017	287.0025	2	1.3916	n04099969_6395.JPEG
296.0101	1.0008	2	13	1	30	sandbox7.jpg	scenes	296.0101	297.0109	1	1.9274	sandbox7.jpg
306.0018	1.0008	2	13	1	31	COCO_train2014_000000147547.jpg	coco	306.0018	307.0025	2	1.8072	COCO_train2014_000000147547.jpg
316.0101	1.0008	2	13	1	32	pub5.jpg	scenes	316.0101	317.0109	1	1.7350	pub5.jpg
326.0018	1.0008	2	13	1	33	n02138441_68.JPEG	imagenet	326.0018	327.0026	1	1.4232	n02138441_68.JPEG
336.0101	1.0008	2	13	1	34	COCO_train2014_000000312003.jpg	rep_coco	336.0101	337.0109	2	1.3988	COCO_train2014_000000312003.jpg
346.0017	1.0009	2	13	1	35	COCO_train2014_000000024193.jpg	coco	346.0017	347.0026	2	1.5827	COCO_train2014_000000024193.jpg
356.0101	1.0008	2	13	1	36	n03602883_18507.JPEG	imagenet	356.0101	357.0109	2	2.1104	n03602883_18507.JPEG
366.0018	1.0008	2	13	1	37	n01484850_13992.JPEG	imagenet	366.0018	367.0026	3	1.5904	n01484850_13992.JPEG
