onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0298	0.9674	2	1	6	1	n02123045_557.JPEG	imagenet	6.0298	6.9973	1	1.4817
16.0052	1.0008	2	1	6	2	museum5.jpg	scenes	16.0052	17.0060	1	1.5514
25.9969	1.0008	2	1	6	3	n03891332_5114.JPEG	imagenet	25.9969	26.9977	1	1.7943
36.0057	1.0004	2	1	6	4	COCO_train2014_000000317781.jpg	coco	36.0057	37.0061	1	1.6500
45.9969	1.0009	2	1	6	5	HorseRaceTrack4.jpg	scenes	45.9969	46.9978	2	1.5783
56.0059	1.0003	2	1	6	6	n02117135_17291.JPEG	imagenet	56.0059	57.0062	3	2.7296
65.9971	1.0008	2	1	6	7	n03803284_20020.JPEG	imagenet	65.9971	66.9979	1	1.8257
76.0055	1.0008	2	1	6	8	n01828970_9787.JPEG	imagenet	76.0055	77.0063	1	2.1298
85.9972	1.0008	2	1	6	9	COCO_train2014_000000129143.jpg	coco	85.9972	86.9980	1	2.2816
96.0057	1.0007	2	1	6	10	n02676566_2263.JPEG	imagenet	96.0057	97.0064	1	2.2815
105.9973	1.0008	2	1	6	11	arcade2.jpg	scenes	105.9973	106.9982	2	1.5935
116.0058	1.0008	2	1	6	12	n03929660_22386.JPEG	imagenet	116.0058	117.0066	2	1.8253
125.9974	1.0009	2	1	6	13	COCO_train2014_000000544060.jpg	coco	125.9974	126.9983	1	1.8734
136.0062	1.0005	2	1	6	14	n04597913_690.JPEG	imagenet	136.0062	137.0067	2	1.6892
145.9976	1.0008	2	1	6	15	COCO_train2014_000000524063.jpg	coco	145.9976	146.9984	1	1.2490
156.0060	1.0009	2	1	6	16	COCO_train2014_000000152564.jpg	coco	156.0060	157.0068	2	2.0408
165.9977	1.0008	2	1	6	17	COCO_train2014_000000200814.jpg	coco	165.9977	166.9985	1	2.3287
176.0061	1.0008	2	1	6	18	cornfield4.jpg	scenes	176.0061	177.0070	1	1.7926
185.9979	1.0008	2	1	6	19	farm3.jpg	scenes	185.9979	186.9987	1	1.5526
196.0077	0.9994	2	1	6	20	COCO_train2014_000000112805.jpg	rep_coco	196.0077	197.0071	1	1.6165
205.9980	1.0008	2	1	6	21	n02033041_3442.JPEG	imagenet	205.9980	206.9988	1	1.5204
216.0082	0.9990	2	1	6	22	n03773504_27941.JPEG	imagenet	216.0082	217.0072	3	1.9762
225.9981	1.0008	2	1	6	23	COCO_train2014_000000110780.jpg	coco	225.9981	226.9989	2	1.3841
236.0080	0.9993	2	1	6	24	COCO_train2014_000000110611.jpg	coco	236.0080	237.0073	1	1.2480
245.9982	1.0009	2	1	6	25	n03032252_36446.JPEG	rep_imagenet	245.9982	246.9991	1	1.4160
256.0079	0.9995	2	1	6	26	COCO_train2014_000000423209.jpg	coco	256.0079	257.0074	2	1.4557
265.9984	1.0008	2	1	6	27	n03759954_21427.JPEG	imagenet	265.9984	266.9992	1	1.7917
276.0078	0.9998	2	1	6	28	n04597913_2666.JPEG	imagenet	276.0078	277.0076	2	1.5436
285.9985	1.0008	2	1	6	29	closet.jpg	scenes	285.9985	286.9993	2	1.7594
296.0076	1.0001	2	1	6	30	COCO_train2014_000000336764.jpg	coco	296.0076	297.0077	1	1.6233
305.9986	1.0008	2	1	6	31	COCO_train2014_000000376643.jpg	coco	305.9986	306.9994	1	1.6152
316.0077	1.0001	2	1	6	32	COCO_train2014_000000018367.jpg	coco	316.0077	317.0078	1	1.0158
325.9987	1.0008	2	1	6	33	restaurantkitchen.jpg	scenes	325.9987	326.9995	1	1.8630
336.0075	1.0004	2	1	6	34	n09256479_16709.JPEG	imagenet	336.0075	337.0079	1	1.8068
345.9988	1.0008	2	1	6	35	COCO_train2014_000000190992.jpg	coco	345.9988	346.9997	2	1.5827
356.0076	1.0004	2	1	6	36	COCO_train2014_000000150939.jpg	coco	356.0076	357.0081	2	1.4786
365.9990	1.0008	2	1	6	37	n03476991_23897.JPEG	imagenet	365.9990	366.9998	2	1.9745
