onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0313	0.9675	2	1	4	1	n01682714_18221.JPEG	imagenet	6.0313	6.9987	3	1.6320	n01682714_18221.JPEG
16.0065	1.0009	2	1	4	2	COCO_train2014_000000154556.jpg	coco	16.0065	17.0074	1	1.4233	COCO_train2014_000000154556.jpg
25.9983	1.0008	2	1	4	3	n03950228_19944.JPEG	imagenet	25.9983	26.9991	2	1.6656	n03950228_19944.JPEG
36.0085	0.9990	2	1	4	4	COCO_train2014_000000164502.jpg	coco	36.0085	37.0075	1	1.8253	COCO_train2014_000000164502.jpg
45.9984	1.0008	2	1	4	5	n04252225_3764.JPEG	imagenet	45.9984	46.9992	1	1.6579	n04252225_3764.JPEG
56.0080	0.9995	2	1	4	6	n04458633_11652.JPEG	imagenet	56.0080	57.0076	1	1.8658	n04458633_11652.JPEG
65.9985	1.0008	2	1	4	7	n09193705_2043.JPEG	imagenet	65.9985	66.9993	1	1.6417	n09193705_2043.JPEG
76.0080	0.9997	2	1	4	8	COCO_train2014_000000389207.jpg	coco	76.0080	77.0077	1	1.3935	COCO_train2014_000000389207.jpg
85.9986	1.0008	2	1	4	9	footballstadium2.jpg	scenes	85.9986	86.9994	1	1.3374	footballstadium2.jpg
96.0070	1.0008	2	1	4	10	n03868863_3487.JPEG	imagenet	96.0070	97.0078	2	1.9132	n03868863_3487.JPEG
105.9987	1.0008	2	1	4	11	COCO_train2014_000000404997.jpg	coco	105.9987	106.9995	2	1.4891	COCO_train2014_000000404997.jpg
116.0087	0.9992	2	1	4	12	sushibar8.jpg	scenes	116.0087	117.0079	2	1.4410	sushibar8.jpg
125.9988	1.0008	2	1	4	13	n03781244_9830.JPEG	imagenet	125.9988	126.9996	2	1.9449	n03781244_9830.JPEG
136.0075	1.0005	2	1	4	14	n02879718_9103.JPEG	imagenet	136.0075	137.0080	1	1.7048	n02879718_9103.JPEG
145.9989	1.0009	2	1	4	15	COCO_train2014_000000207833.jpg	coco	145.9989	146.9997	2	1.5767	COCO_train2014_000000207833.jpg
156.0076	1.0005	2	1	4	16	metroInside4.jpg	scenes	156.0076	157.0081	1	1.6726	metroInside4.jpg
165.9991	1.0008	2	1	4	17	COCO_train2014_000000553150.jpg	coco	165.9991	166.9999	2	1.4645	COCO_train2014_000000553150.jpg
176.0082	1.0001	2	1	4	18	bedroom4.jpeg	scenes	176.0082	177.0082	1	1.7283	bedroom4.jpeg
185.9992	1.0008	2	1	4	19	COCO_train2014_000000516634.jpg	coco	185.9992	187.0000	1	1.0079	COCO_train2014_000000516634.jpg
196.0084	0.9999	2	1	4	20	COCO_train2014_000000173538.jpg	coco	196.0084	197.0084	1	1.4880	COCO_train2014_000000173538.jpg
205.9993	1.0008	2	1	4	21	n04040759_5145.JPEG	rep_imagenet	205.9993	207.0001	2	1.7600	n04040759_5145.JPEG
216.0078	1.0007	2	1	4	22	n02113978_9805.JPEG	rep_imagenet	216.0078	217.0085	1	1.5679	n02113978_9805.JPEG
225.9994	1.0008	2	1	4	23	COCO_train2014_000000523236.jpg	coco	225.9994	227.0002	1	1.3838	COCO_train2014_000000523236.jpg
236.0078	1.0008	2	1	4	24	poolhall1.jpg	scenes	236.0078	237.0086	2	1.7197	poolhall1.jpg
245.9995	1.0008	2	1	4	25	n01843065_640.JPEG	imagenet	245.9995	247.0003	1	1.4236	n01843065_640.JPEG
256.0081	1.0006	2	1	4	26	n02894605_50677.JPEG	imagenet	256.0081	257.0087	1	1.4313	n02894605_50677.JPEG
265.9996	1.0008	2	1	4	27	n04447861_6714.JPEG	imagenet	265.9996	267.0004	3	1.5993	n04447861_6714.JPEG
276.0093	0.9996	2	1	4	28	COCO_train2014_000000307475.jpg	coco	276.0093	277.0088	1	1.2473	COCO_train2014_000000307475.jpg
285.9998	1.0007	2	1	4	29	church8.jpg	scenes	285.9998	287.0005	1	1.4392	church8.jpg
296.0081	1.0008	2	1	4	30	COCO_train2014_000000036341.jpg	coco	296.0081	297.0089	2	2.2628	COCO_train2014_000000036341.jpg
305.9998	1.0008	2	1	4	31	COCO_train2014_000000257983.jpg	coco	305.9998	307.0007	1	1.5187	COCO_train2014_000000257983.jpg
316.0082	1.0008	2	1	4	32	n02909870_15595.JPEG	imagenet	316.0082	317.0090	1	2.4946	n02909870_15595.JPEG
326.0000	1.0008	2	1	4	33	COCO_train2014_000000229233.jpg	coco	326.0000	327.0008	2	2.1505	COCO_train2014_000000229233.jpg
336.0084	1.0008	2	1	4	34	COCO_train2014_000000081042.jpg	coco	336.0084	337.0092	2	1.6703	COCO_train2014_000000081042.jpg
346.0001	1.0008	2	1	4	35	n06596364_13985.JPEG	imagenet	346.0001	347.0009	1	2.1182	n06596364_13985.JPEG
356.0085	1.0008	2	1	4	36	n03127747_14258.JPEG	imagenet	356.0085	357.0093	1	1.5901	n03127747_14258.JPEG
366.0001	1.0009	2	1	4	37	hallway5.jpg	scenes	366.0001	367.0010	1	1.9422	hallway5.jpg
