onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0315	0.9674	1	11	4	1	ice_rink5.jpg	scenes	6.0315	6.9989	1	3.0299	ice_rink5.jpg
16.0072	1.0005	1	11	4	2	n02279972_6492.JPEG	imagenet	16.0072	17.0076	1	1.4630	n02279972_6492.JPEG
25.9985	1.0008	1	11	4	3	COCO_train2014_000000292739.jpg	coco	25.9985	26.9993	1	1.3695	COCO_train2014_000000292739.jpg
36.0069	1.0008	1	11	4	4	COCO_train2014_000000083632.jpg	coco	36.0069	37.0077	2	2.2331	COCO_train2014_000000083632.jpg
45.9986	1.0008	1	11	4	5	clothingstore2.jpg	scenes	45.9986	46.9994	3	5.8409	clothingstore2.jpg
56.0070	1.0008	1	11	4	6	COCO_train2014_000000559908.jpg	coco	56.0070	57.0078	3	1.5449	COCO_train2014_000000559908.jpg
65.9987	1.0008	1	11	4	7	n03706229_5674.JPEG	imagenet	65.9987	66.9995	2	2.3851	n03706229_5674.JPEG
76.0071	1.0008	1	11	4	8	newsstand5.jpg	scenes	76.0071	77.0079	3	1.5770	newsstand5.jpg
85.9988	1.0008	1	11	4	9	n02009229_2158.JPEG	imagenet	85.9988	86.9996	1	2.8649	n02009229_2158.JPEG
96.0072	1.0008	1	11	4	10	COCO_train2014_000000314167.jpg	coco	96.0072	97.0080	2	2.5768	COCO_train2014_000000314167.jpg
105.9989	1.0008	1	11	4	11	n03763968_1201.JPEG	imagenet	105.9989	106.9997	3	1.6647	n03763968_1201.JPEG
116.0073	1.0008	1	11	4	12	n02125311_2103.JPEG	imagenet	116.0073	117.0081	1	1.4326	n02125311_2103.JPEG
125.9990	1.0008	1	11	4	13	COCO_train2014_000000408922.jpg	coco	125.9990	126.9998	2	5.4164	COCO_train2014_000000408922.jpg
136.0074	1.0008	1	11	4	14	n02229544_6831.JPEG	rep_imagenet	136.0074	137.0082	2	3.6722	n02229544_6831.JPEG
145.9991	1.0009	1	11	4	15	n07720875_5913.JPEG	imagenet	145.9991	146.9999	2	4.6402	n07720875_5913.JPEG
156.0075	1.0008	1	11	4	16	campusquad4.jpg	scenes	156.0075	157.0083	1	1.3682	campusquad4.jpg
165.9992	1.0008	1	11	4	17	COCO_train2014_000000291560.jpg	coco	165.9992	167.0001	2	1.6160	COCO_train2014_000000291560.jpg
176.0077	1.0008	1	11	4	18	n03483316_25519.JPEG	imagenet	176.0077	177.0085	3	2.7679	n03483316_25519.JPEG
185.9994	1.0008	1	11	4	19	cafeteria3.jpg	scenes	185.9994	187.0002	3	1.7518	cafeteria3.jpg
196.0078	1.0008	1	11	4	20	n02797295_13746.JPEG	rep_imagenet	196.0078	197.0086	2	2.9755	n02797295_13746.JPEG
205.9995	1.0008	1	11	4	21	n02110627_18410.JPEG	imagenet	205.9995	207.0003	1	1.2875	n02110627_18410.JPEG
216.0079	1.0008	1	11	4	22	COCO_train2014_000000074887.jpg	coco	216.0079	217.0087	1	1.7355	COCO_train2014_000000074887.jpg
225.9996	1.0008	1	11	4	23	campsite3.jpg	rep_scenes	225.9996	227.0004	1	2.4071	campsite3.jpg
236.0080	1.0008	1	11	4	24	n03617480_20673.JPEG	imagenet	236.0080	237.0088	2	1.9752	n03617480_20673.JPEG
245.9997	1.0008	1	11	4	25	n02086079_1227.JPEG	imagenet	245.9997	247.0005	1	1.3671	n02086079_1227.JPEG
256.0081	1.0008	1	11	4	26	COCO_train2014_000000293377.jpg	coco	256.0081	257.0089	1	1.8469	COCO_train2014_000000293377.jpg
265.9998	1.0008	1	11	4	27	COCO_train2014_000000037165.jpg	coco	265.9998	267.0006	3	2.6386	COCO_train2014_000000037165.jpg
276.0082	1.0008	1	11	4	28	COCO_train2014_000000049841.jpg	coco	276.0082	277.0090	2	2.8225	COCO_train2014_000000049841.jpg
285.9999	1.0008	1	11	4	29	hayfield5.jpg	scenes	285.9999	287.0007	1	1.3106	hayfield5.jpg
296.0084	1.0008	1	11	4	30	COCO_train2014_000000202050.jpg	coco	296.0084	297.0091	3	2.7103	COCO_train2014_000000202050.jpg
306.0001	1.0008	1	11	4	31	n03393912_5684.JPEG	imagenet	306.0001	307.0009	2	1.3582	n03393912_5684.JPEG
316.0084	1.0008	1	11	4	32	COCO_train2014_000000328628.jpg	coco	316.0084	317.0092	3	1.4061	COCO_train2014_000000328628.jpg
326.0002	1.0008	1	11	4	33	n03980874_15861.JPEG	imagenet	326.0002	327.0010	2	1.4861	n03980874_15861.JPEG
336.0085	1.0008	1	11	4	34	n01824575_4563.JPEG	imagenet	336.0085	337.0093	1	1.5979	n01824575_4563.JPEG
346.0002	1.0008	1	11	4	35	COCO_train2014_000000095337.jpg	coco	346.0002	347.0011	2	1.9738	COCO_train2014_000000095337.jpg
356.0087	1.0008	1	11	4	36	tollbooth8.jpg	scenes	356.0087	357.0095	1	2.5816	tollbooth8.jpg
366.0004	1.0008	1	11	4	37	COCO_train2014_000000345751.jpg	coco	366.0004	367.0012	2	1.3577	COCO_train2014_000000345751.jpg
