onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0325	0.9675	3	1	5	1	COCO_train2014_000000338501.jpg	coco	6.0325	7.0000	1	1.7025	COCO_train2014_000000338501.jpg
16.0079	1.0008	3	1	5	2	COCO_train2014_000000083738.jpg	coco	16.0079	17.0087	3	1.3750	COCO_train2014_000000083738.jpg
25.9995	1.0008	3	1	5	3	observatory4.jpeg	scenes	25.9995	27.0003	2	1.9533	observatory4.jpeg
36.0079	1.0008	3	1	5	4	n02011460_4269.JPEG	imagenet	36.0079	37.0087	1	2.1611	n02011460_4269.JPEG
45.9997	1.0008	3	1	5	5	COCO_train2014_000000253480.jpg	coco	45.9997	47.0005	3	1.7136	COCO_train2014_000000253480.jpg
56.0081	1.0008	3	1	5	6	n04136333_2487.JPEG	rep_imagenet	56.0081	57.0089	1	1.7135	n04136333_2487.JPEG
65.9998	1.0008	3	1	5	7	cabana1.jpg	scenes	65.9998	67.0006	2	2.2573	cabana1.jpg
76.0082	1.0008	3	1	5	8	n03924679_1201.JPEG	imagenet	76.0082	77.0090	3	1.8493	n03924679_1201.JPEG
85.9998	1.0009	3	1	5	9	n03873416_21558.JPEG	imagenet	85.9998	87.0007	3	2.6411	n03873416_21558.JPEG
96.0083	1.0008	3	1	5	10	n01498041_984.JPEG	imagenet	96.0083	97.0091	1	1.4891	n01498041_984.JPEG
106.0000	1.0008	3	1	5	11	COCO_train2014_000000275380.jpg	coco	106.0000	107.0008	1	1.6090	COCO_train2014_000000275380.jpg
116.0085	1.0008	3	1	5	12	COCO_train2014_000000270278.jpg	coco	116.0085	117.0093	1	4.7767	COCO_train2014_000000270278.jpg
126.0001	1.0009	3	1	5	13	n03424325_31318.JPEG	imagenet	126.0001	127.0010	2	1.7207	n03424325_31318.JPEG
136.0086	1.0008	3	1	5	14	n04070727_5531.JPEG	imagenet	136.0086	137.0094	3	1.7367	n04070727_5531.JPEG
146.0002	1.0008	3	1	5	15	n03255030_1114.JPEG	imagenet	146.0002	147.0011	3	3.7605	n03255030_1114.JPEG
156.0087	1.0008	3	1	5	16	COCO_train2014_000000428605.jpg	coco	156.0087	157.0095	2	3.0803	COCO_train2014_000000428605.jpg
166.0004	1.0008	3	1	5	17	n04111531_2186.JPEG	imagenet	166.0004	167.0012	1	3.9682	n04111531_2186.JPEG
176.0088	1.0008	3	1	5	18	COCO_train2014_000000031078.jpg	coco	176.0088	177.0096	1	2.0640	COCO_train2014_000000031078.jpg
186.0006	1.0008	3	1	5	19	island1.jpg	scenes	186.0006	187.0014	2	2.1680	island1.jpg
196.0090	1.0008	3	1	5	20	COCO_train2014_000000196777.jpg	coco	196.0090	197.0098	1	2.3838	COCO_train2014_000000196777.jpg
206.0006	1.0008	3	1	5	21	COCO_train2014_000000088449.jpg	rep_coco	206.0006	207.0015	1	4.4076	COCO_train2014_000000088449.jpg
216.0091	1.0008	3	1	5	22	concerthall6.jpg	scenes	216.0091	217.0099	2	2.8956	concerthall6.jpg
226.0008	1.0008	3	1	5	23	readingroom4.jpg	scenes	226.0008	227.0016	2	5.9275	readingroom4.jpg
236.0092	1.0008	3	1	5	24	COCO_train2014_000000429887.jpg	coco	236.0092	237.0100	3	3.5353	COCO_train2014_000000429887.jpg
246.0009	1.0009	3	1	5	25	lightingstore2.jpg	scenes	246.0009	247.0018	1	4.1752	lightingstore2.jpg
256.0094	1.0008	3	1	5	26	n03617480_20673.JPEG	imagenet	256.0094	257.0101	1	1.5113	n03617480_20673.JPEG
266.0011	1.0008	3	1	5	27	COCO_train2014_000000246736.jpg	coco	266.0011	267.0019	1	1.0098	COCO_train2014_000000246736.jpg
276.0094	1.0008	3	1	5	28	COCO_train2014_000000575971.jpg	coco	276.0094	277.0103	2	2.5990	COCO_train2014_000000575971.jpg
286.0012	1.0008	3	1	5	29	COCO_train2014_000000122560.jpg	coco	286.0012	287.0020	1	1.0099	COCO_train2014_000000122560.jpg
296.0096	1.0008	3	1	5	30	n01828970_1023.JPEG	imagenet	296.0096	297.0104	1	1.4628	n01828970_1023.JPEG
306.0013	1.0008	3	1	5	31	n03394916_51071.JPEG	imagenet	306.0013	307.0021	1	3.3026	n03394916_51071.JPEG
316.0097	1.0008	3	1	5	32	COCO_train2014_000000485902.jpg	coco	316.0097	317.0105	1	2.0465	COCO_train2014_000000485902.jpg
326.0014	1.0008	3	1	5	33	n03627232_12520.JPEG	imagenet	326.0014	327.0022	2	2.6465	n03627232_12520.JPEG
336.0098	1.0008	3	1	5	34	COCO_train2014_000000339051.jpg	coco	336.0098	337.0106	1	2.0622	COCO_train2014_000000339051.jpg
346.0015	1.0008	3	1	5	35	n02091831_990.JPEG	imagenet	346.0015	347.0024	1	2.1822	n02091831_990.JPEG
356.0100	1.0008	3	1	5	36	n04033901_37771.JPEG	imagenet	356.0100	357.0108	1	1.6301	n04033901_37771.JPEG
366.0017	1.0008	3	1	5	37	snowmountains5.jpg	scenes	366.0017	367.0025	1	3.0460	snowmountains5.jpg
