onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0297	0.9674	3	1	10	1	COCO_train2014_000000026302.jpg	coco	6.0297	6.9971	2	3.6017
16.0050	1.0009	3	1	10	2	n02099429_5693.JPEG	imagenet	16.0050	17.0059	1	1.8393
25.9967	1.0008	3	1	10	3	COCO_train2014_000000247121.jpg	coco	25.9967	26.9975	1	2.4418
36.0051	1.0008	3	1	10	4	COCO_train2014_000000527618.jpg	coco	36.0051	37.0059	2	3.0659
45.9968	1.0008	3	1	10	5	COCO_train2014_000000401699.jpg	coco	45.9968	46.9976	1	2.0820
56.0052	1.0008	3	1	10	6	n02410509_3576.JPEG	imagenet	56.0052	57.0060	1	2.4578
65.9969	1.0008	3	1	10	7	campsite3.jpg	scenes	65.9969	66.9977	1	4.2418
76.0055	1.0007	3	1	10	8	COCO_train2014_000000484528.jpg	coco	76.0055	77.0061	3	1.7857
85.9970	1.0008	3	1	10	9	ATM2.jpg	scenes	85.9970	86.9978	3	1.6571
96.0055	1.0008	3	1	10	10	COCO_train2014_000000274685.jpg	coco	96.0055	97.0063	2	3.8014
105.9971	1.0009	3	1	10	11	artStudio2.jpg	scenes	105.9971	106.9980	1	2.7773
116.0056	1.0008	3	1	10	12	n03595614_9847.JPEG	imagenet	116.0056	117.0064	2	3.3532
125.9973	1.0008	3	1	10	13	bleachers7.jpg	scenes	125.9973	126.9981	3	2.1210
136.0057	1.0008	3	1	10	14	n02091635_7610.JPEG	imagenet	136.0057	137.0065	1	1.9210
145.9974	1.0008	3	1	10	15	COCO_train2014_000000333654.jpg	coco	145.9974	146.9982	2	4.5608
156.0058	1.0009	3	1	10	16	COCO_train2014_000000080987.jpg	coco	156.0058	157.0066	1	1.7608
165.9975	1.0008	3	1	10	17	COCO_train2014_000000017935.jpg	coco	165.9975	166.9983	2	3.7125
176.0069	0.9998	3	1	10	18	COCO_train2014_000000492648.jpg	coco	176.0069	177.0067	1	4.4884
185.9977	1.0008	3	1	10	19	COCO_train2014_000000206467.jpg	coco	185.9977	186.9985	1	1.7364
196.0070	0.9999	3	1	10	20	n03602883_18507.JPEG	rep_imagenet	196.0070	197.0069	3	1.9203
205.9978	1.0008	3	1	10	21	COCO_train2014_000000564938.jpg	coco	205.9978	206.9986	1	1.8722
216.0068	1.0002	3	1	10	22	n01614925_1006.JPEG	imagenet	216.0068	217.0070	1	1.4961
225.9979	1.0008	3	1	10	23	n02317335_26399.JPEG	imagenet	225.9979	226.9987	1	1.7280
236.0069	1.0002	3	1	10	24	n04606251_2209.JPEG	imagenet	236.0069	237.0071	3	1.9279
245.9980	1.0008	3	1	10	25	n03930630_884.JPEG	imagenet	245.9980	246.9988	2	3.0078
256.0064	1.0008	3	1	10	26	COCO_train2014_000000408492.jpg	coco	256.0064	257.0073	1	1.8396
265.9982	1.0008	3	1	10	27	pizzeria4.jpg	scenes	265.9982	266.9989	1	1.9755
276.0068	1.0005	3	1	10	28	n02443484_2595.JPEG	imagenet	276.0068	277.0073	1	1.6714
285.9982	1.0008	3	1	10	29	n01558993_2306.JPEG	imagenet	285.9982	286.9991	1	2.4553
296.0067	1.0008	3	1	10	30	stream_outdoor9.jpg	scenes	296.0067	297.0075	1	1.8153
305.9984	1.0008	3	1	10	31	n02704792_9673.JPEG	rep_imagenet	305.9984	306.9992	3	3.3830
316.0069	1.0007	3	1	10	32	COCO_train2014_000000124747.jpg	coco	316.0069	317.0076	2	1.6389
325.9985	1.0008	3	1	10	33	n02109047_1551.JPEG	imagenet	325.9985	326.9993	1	1.3349
336.0074	1.0003	3	1	10	34	n02879718_9546.JPEG	imagenet	336.0074	337.0077	1	2.1107
345.9986	1.0008	3	1	10	35	n01986214_14578.JPEG	imagenet	345.9986	346.9994	2	2.5345
356.0070	1.0008	3	1	10	36	n02398521_5517.JPEG	imagenet	356.0070	357.0078	1	1.5585
365.9987	1.0008	3	1	10	37	dentist3.jpg	scenes	365.9987	366.9995	3	2.8783
