onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0365	0.9678	1	14	2	1	n02088094_908.JPEG	imagenet	6.0365	7.0043	1	1.6327
16.0118	0.9842	1	14	2	2	COCO_train2014_000000286575.jpg	coco	16.0118	16.9961	2	2.6865
26.0034	1.0008	1	14	2	3	n02391049_1189.JPEG	imagenet	26.0034	27.0043	1	2.3768
36.0119	0.9841	1	14	2	4	n02640242_821.JPEG	rep_imagenet	36.0119	36.9960	2	2.2570
46.0036	1.0008	1	14	2	5	COCO_train2014_000000256785.jpg	coco	46.0036	47.0044	3	5.5210
56.0120	0.9841	1	14	2	6	COCO_train2014_000000320533.jpg	coco	56.0120	56.9961	1	1.5127
66.0037	1.0008	1	14	2	7	COCO_train2014_000000408965.jpg	coco	66.0037	67.0045	1	1.8730
75.9951	1.0011	1	14	2	8	n02410509_8250.JPEG	imagenet	75.9951	76.9962	2	3.0647
86.0038	1.0008	1	14	2	9	rooftop1.jpg	scenes	86.0038	87.0046	1	6.5525
95.9953	1.0011	1	14	2	10	soccerfield.jpg	scenes	95.9953	96.9963	3	2.7206
106.0039	1.0009	1	14	2	11	bakerykitchen3.jpg	scenes	106.0039	107.0048	2	2.0402
115.9954	1.0011	1	14	2	12	COCO_train2014_000000060145.jpg	coco	115.9954	116.9965	2	1.5283
126.0047	1.0001	1	14	2	13	banquetHall2.jpg	scenes	126.0047	127.0048	1	4.2561
135.9955	1.0011	1	14	2	14	n03032252_36446.JPEG	rep_imagenet	135.9955	136.9966	2	1.9040
146.0047	1.0003	1	14	2	15	COCO_train2014_000000268418.jpg	coco	146.0047	147.0050	2	1.3679
155.9961	1.0006	1	14	2	16	COCO_train2014_000000043815.jpg	coco	155.9961	156.9967	2	2.5757
166.0050	1.0001	1	14	2	17	COCO_train2014_000000192501.jpg	coco	166.0050	167.0051	1	1.8157
175.9961	1.0007	1	14	2	18	n02841315_20757.JPEG	imagenet	175.9961	176.9968	2	4.4474
186.0044	1.0008	1	14	2	19	n03417042_10126.JPEG	imagenet	186.0044	187.0052	3	5.2794
195.9958	1.0011	1	14	2	20	cornfield4.jpg	scenes	195.9958	196.9969	2	1.7033
206.0046	1.0007	1	14	2	21	n03444034_9558.JPEG	imagenet	206.0046	207.0053	1	2.1191
215.9962	1.0008	1	14	2	22	n03372029_80000.JPEG	imagenet	215.9962	216.9970	2	3.5109
226.0048	1.0006	1	14	2	23	COCO_train2014_000000257983.jpg	coco	226.0048	227.0054	1	2.7589
235.9963	1.0008	1	14	2	24	COCO_train2014_000000211529.jpg	coco	235.9963	236.9972	1	1.2710
246.0052	1.0004	1	14	2	25	n04442312_15493.JPEG	imagenet	246.0052	247.0055	3	1.7587
255.9965	1.0008	1	14	2	26	n02105162_456.JPEG	imagenet	255.9965	256.9973	1	2.2786
266.0050	1.0007	1	14	2	27	n01496331_1499.JPEG	imagenet	266.0050	267.0057	1	2.6465
275.9963	1.0011	1	14	2	28	COCO_train2014_000000027002.jpg	coco	275.9963	276.9974	2	2.6223
286.0053	1.0005	1	14	2	29	n04532106_6977.JPEG	imagenet	286.0053	287.0058	2	2.2861
295.9967	1.0008	1	14	2	30	circus1.jpg	rep_scenes	295.9967	296.9975	3	1.4381
306.0053	1.0006	1	14	2	31	n04208210_12155.JPEG	imagenet	306.0053	307.0059	2	2.6859
315.9967	1.0009	1	14	2	32	martialartsclass4.jpg	scenes	315.9967	316.9976	2	6.4698
326.0052	1.0008	1	14	2	33	COCO_train2014_000000424218.jpg	coco	326.0052	327.0060	2	2.4617
335.9969	1.0009	1	14	2	34	COCO_train2014_000000531765.jpg	coco	335.9969	336.9977	1	1.4857
346.0053	1.0008	1	14	2	35	COCO_train2014_000000095176.jpg	coco	346.0053	347.0061	2	2.5736
355.9970	1.0008	1	14	2	36	n03291819_5030.JPEG	imagenet	355.9970	356.9978	2	2.6773
366.0057	1.0005	1	14	2	37	library_aisle10.jpg	scenes	366.0057	367.0062	1	4.9332
